name,city,countryCode,neighborhood,starLevel,overallScore,reviewCount,ratingLabel,cleanliness,locationRating,staffRating,latitude,longitude,hotelId,scrapedAt,description,descriptionLanguage,reviews
Leonardo Royal London City - Tower Hill,London,UK,The City - Tower Bridge - St. Pauls Cathedral,4.0,8.7,6693.0,Very Good,9.1,9.5,9.1,51.5112000000001,-0.0771199999999226,5282105.0,2026-05-04T08:39:03.354Z,"Overlooking the historic Tower of London, the luxury 4-star Leonardo Royal Hotel London City - Tower of London features a spa with a 25-yard swimming pool and a large gym. Featuring a brasserie and a cocktail lounge, the hotel is just 2 minutes' walk from Tower Hill Tube Station and offers free WiFi. Each elegant air-conditioned room includes a flat-screen TV, a trouser press, and tea and coffee making facilities. The private bathrooms have complimentary toiletries and a hairdryer. Leonardo Royal Hotel London City - Tower of London offers range of onsite bars and restaurants. Leo's Bar and Restaurant provides a traditional menu with modern decor. A wide variety of drinks and snacks can also be enjoyed in Corvo Bar and Cafe. A full buffet breakfast is now offered. Some rooms receive a 10% discount on spa treatments during their stay. Leisure facilities at the Leonardo Royal Hotel London City - Tower of London include a steam room and a sauna for guests to enjoy. Located in the city of London, the hotel is just 20 minutes’ walk from St Paul’s Cathedral. ",en,[]
St Mark's - Merit Hotels,London,UK,Kensington - Earl's Court,3.0,8.6,380.0,Very Good,9.2,9.4,9.0,51.4921000000001,-0.191330999999934,6176603.0,2026-05-04T08:39:05.519Z,"Located within a 2-minute walk of Earl’s Court Tube Station, in the Royal Borough of Kensington and Chelsea, home to Kensington Palace and the Royal Albert Hall, St Mark's Merit Hotels offers free WiFi access. Rooms at this newly refurbished hotel are individually designed and feature a TV, mini bar, coffee and tea hospitality tray and a safe. Located within walking distance to an array of restaurants and famous shops, such as Harrods, the Hotel is a few minutes’ walk from various museums, including the Natural History and Victoria and Albert. Heathrow Airport can be reached in 20 minutes without any changes via the Piccadilly Line. St. Mark Hotel is a 5-minute walk from Earl's Court Tube Station. Each room has a fridge. The comfortable rooms have private bathrooms, tea/coffee and a TV. Wi-Fi internet access is available throughout the building with a 24-hour front desk. The hotel is located in Earl's Court, close to many restaurants and shops. The Olympia Exhibition Center is within walking distance of the hotel. The hotel has a elevator and the hotel does not serve any breakfast. ",en,[]
Heeton Concept Hotel - Luma Hammersmith,London,UK,Hammersmith,3.0,8.2,1711.0,Very Good,8.5,9.3,9.2,51.49445,-0.22707,60052803.0,2026-05-04T08:39:07.640Z,"Heeton concept hotel- Luma Hammersmith is an urban boutique hotel perched in the heart of West London’s thriving Hammersmith neighborhood. It is a 2 minute walk from Hammersmith tube station and 1 minute walk to the lyric theater. The chic, contemporary rooms all come with air-conditioning, a flat screen tv, tea and coffee facilities and free toiletries. Additional facilities include a 24-hour desk, free Wi-Fi and washing machine. The hotel's Grab & Go breakfast includes fruit juices, croissants, a breakfast bar, yogurts, hot drinks, offering a quick and tasty start to your day. The popular deluxe rooms come equipped with a working desk, mini fridge and sofa. The hotel also has an inviting front garden. Located conveniently to get you to the famous London museums or Hyde park within a 20 minute tube ride. 15 minutes to green park station to visit Buckingham palace. Explore locally, with the Eventim Apollo being only 550 yards away and the Thames riverside 750 yards away. Perfectly located between the Hammersmith King Street shopping district and Westfield shopping center. For those attending events at the Olympia exhibition center, it’s a 20-minute walk away. If you're flying in, Heathrow Airport is just a 30-minute ride on the Piccadilly line. ",en,[]
Spark by Hilton London Romford,London,UK,Romford,3.0,7.0,656.0,Good,7.9,8.3,8.2,51.57535934,0.18291999,184165703.0,2026-05-04T08:39:09.697Z,"Located in Romford and within 4 miles of Upminster Tube Station, Spark by Hilton London Romford has a bar, non-smoking rooms, and free WiFi. This 3-star hotel offers a 24-hour front desk and luggage storage space. Guests can have a drink at the snack bar. Complete with a private bathroom equipped with a shower and free toiletries, the rooms at the hotel have a flat-screen TV and air conditioning, and some rooms include a balcony. Guest rooms have a safety deposit box. Guests at Spark by Hilton London Romford can enjoy a buffet or a Full English/Irish breakfast. At the accommodation you'll find a restaurant serving American, British and Pizza cuisine. Vegetarian and vegan options can also be requested. Gants Hill Tube Station is 5.8 miles from Spark by Hilton London Romford, while Barking Tube Station is 6.1 miles from the property. London City Airport is 8.7 miles away. ",en,[]
Strand Palace Hotel,London,UK,Mayfair - Soho,4.0,8.4,9570.0,Very Good,8.9,9.7,9.0,51.5108859100001,-0.120667218999927,8384003.0,2026-05-04T08:39:11.538Z,"Welcoming guests since 1909, the Strand Palace is located in London’s West End within just 2297 feet of the Adelphi and the Vaudeville theaters. The hotel is home to 2 on-site bars offering cocktails and afternoon tea, and a restaurant serving British cuisine. A flat-screen satellite TV is provided in each room. Guests also have use of an on-site gym and room service is available between 1200 and 2300H. The rooms are equipped with state-of-the-art air conditioners. Deluxe and superior guestrooms have air-conditioning fitted as standard. The hotel has 788 bedrooms and has a guest services team. Covent Garden’s shops and the Royal Opera House are a 5-minute walk away, while Trafalgar Square is an 8-minute walk away. The Strand Lyceum Theater and the Novello Theater are 2297 feet from the Strand Palace. Charing Cross Rail and Underground Station is a 4 minute walk from the hotel, while Waterloo Station can reached in 15-minutes' walk. ",en,[]
Holiday Inn Express London-Hammersmith By IHG,London,UK,Hammersmith,3.0,8.0,2744.0,Very Good,8.4,8.7,8.8,51.49266836,-0.23147463,1521604.0,2026-05-04T08:39:16.541Z,"This modern hotel in West London is conveniently located and gives great access to Central London attractions such as The London Eye, Buckingham Palace and the Natural History Museum. Hammersmith Tube Station gives access to central London and Heathrow Airport. Guests are a five-minute walk from shops and the Hammersmith Apollo concert venue. This Holiday Inn Express is just a few hundred yards from the A4, linking to the M4 motorway in a five-minute drive. It’s within 2 miles of the Westfield Shopping Center and the Earl's Court and Olympia exhibition centers. Each room features wall-mounted TVs, USB ports next to the bed, tea/coffee-making facilities, ironing facilities, a work desk, comfortable beds and air conditioning. Also, the rooms have an private bathroom with a hairdryer, power shower and free toiletries. Free Wi-Fi is available throughout the property. Breakfast is free for every guest and includes cooked options or a selection of cereals, pastries, fruit and drinks. In the evening, enjoy an evening meal and choose from pizzas, burgers or nibbles. Grab a drink from the bar and choose from a craft beer, premium spirit or soft drink to enjoy in the lounge. ",en,[]
Wellington Hotel by Blue Orchid,London,UK,Westminster - Houses of Parliament - Victoria,4.0,8.1,1345.0,Very Good,8.6,9.1,8.6,51.49421642,-0.135998726,10181504.0,2026-05-04T08:39:18.012Z,"Located in Vincent Square, Wellington Hotel by Blue Orchid offers tranquil accommodations in the heart of Central London. The property is only 10 minutes' walk from Victoria Station, offering excellent transport links to Gatwick Airport and all areas in London. Boasting 160 rooms across different categories, the Wellington Hotel by Blue Orchid feature private bathrooms, flatscreen TVs and WiFi. Guests can enjoy their meals in the on-site restaurant or relax in the lounge. There is also a gym and 24-hours reception, security, porter and room service. Popular local attractions include the Houses of Parliament, Westminster Abbey and London Eye, all within 15 minutes' walk. ",en,[]
Riu Plaza London The Westminster,London,UK,Westminster - Houses of Parliament - Victoria,4.0,8.4,3541.0,Very Good,8.9,9.0,9.1,51.492239129,-0.128212217,2776805.0,2026-05-04T08:39:19.566Z,"Ideally set in London, Riu Plaza London The Westminster has air-conditioned rooms, a fitness center, free WiFi and a bar. This 4-star hotel offers a concierge service and luggage storage space. Private parking is available on site. The rooms at the hotel come with a flat-screen TV with satellite channels and a safety deposit box. Riu Plaza London The Westminster provides some accommodations with river views, and rooms have an electric tea pot. At the accommodation, the rooms include a private bathroom with free toiletries and a hairdryer. Breakfast is available, and includes buffet, continental and Full English/Irish options. Speaking German, English, Spanish and French, staff are always on hand to help at the reception. Popular points of interest near Riu Plaza London The Westminster include Westminster Abbey, Big Ben and Houses of Parliament. London City Airport is 9.3 miles from the property. ",en,[]
ibis budget London Barking,Barking,UK,"London, United Kingdom",3.0,6.8,1975.0,Fair,7.9,7.1,8.3,51.5340434442,0.0721460580826,36150204.0,2026-05-04T08:39:21.081Z,"Located less than a mile from Barking underground station, ibis budget London Barking offers on-site outdoor parking at an additional fee and a 24-hour front desk. Westfield Stratford City shopping center is a 20-minute drive from the hotel and features a 17-screen cinema, bowling alley and a wide selection of designer shops. London City Airport can be reached in 12 minutes by car. An en suite shower is provided in each room at ibis budget London Barking, as well as a flat-screen TV. Hairdryers are available on request. A continental buffet breakfast is on offer each morning including cold cuts, cheese, yogurt, pastries, toast, jam and butter. A selection of hot drinks, fruits and juice is also available ",en,[]
Novotel London Canary Wharf,London,UK,London Docklands - Canary Warf & Greenwich,4.0,8.4,2479.0,Very Good,8.8,9.0,8.8,51.501331,-0.023293,68728305.0,2026-05-04T08:39:23.550Z,"Featuring a roof terrace with 360 views across the London skyline, Novotel London Canary Wharf also benefits from an on-site gym, pool and contemporary restaurant and bar. Free WiFi is available throughout the hotel. Each air conditioned guest room features a flat-screen TV, private bathrooms and a work desk. There is a 24-hour front desk at the property, as well as room service which offers a variety of hot dishes and cold snacks. The Bōkan Restaurant, Bar and Roof Terrace serves artisanal food and drink made using a mixture of local, ancient and adopted British ingredients. The menu is inspired by European cultural cuisines. There are panoramic views of London and the Thames, high-speed WiFi and triple-story rooftop dining. Greenwich Park is 2.1 mi from Novotel London Canary Wharf, while Tower Bridge is 2.2 mi away. The nearest airport is London City Airport, 3.1 mi from Novotel London Canary Wharf. ",en,[]
Hilton London Paddington,London,UK,Notting Hill - Paddington Station Area,4.0,7.7,2379.0,Good,8.4,9.4,8.4,51.51562067,-0.17574772,594103.0,2026-05-04T08:39:26.076Z,"Connected by footbridge to Paddington Station, this 4-star Hilton has Art Deco-style rooms and a gym. Hyde Park and Kensington Palace are within 10 minutes’ walking distance. Guests at the Hilton London Paddington are only 15 minutes journey from Heathrow Airport, via the Heathrow Express train service at Paddington. The stylish rooms each feature a modern flat-screen TV, a seating area and mini-bar. There are also luxurious bathrooms, and large windows letting in plenty of natural light. At the Paddington Hilton there is a stylish brasserie restaurant, the 146 Paddington bar and 24-hour room service. The Executive Lounge provides a quiet space for guests to unwind or work. ",en,[]
Trebovir Hotel London,London,UK,Kensington - Earl's Court,3.0,7.8,989.0,Good,8.3,9.3,8.9,51.4919519393,-0.193891525269,13225203.0,2026-05-04T08:39:27.398Z,"Just 492 feet from Earls Court Underground Station,Trebovir Hotel offers air-conditioned rooms with a flat-screen TV. Earls Court Exhibition Center is a 3-minute walk away and free WiFi is available throughout the building. The shops and boutiques of South Kensington and Chelsea can be reached after 20 minutes’ walk. Stamford Bridge, home of Chelsea Football Club, is just over a mile away, and Heathrow Airport is a 30-minute journey by car. An LCD flat-screen TV and a private bathroom with a selection of toiletries are included in each compact room. ",en,[]
Holiday Inn London Camden Lock By IHG,London,UK,Regents Park - Baker Street - Camden Market,4.0,8.4,2037.0,Very Good,8.8,9.3,9.2,51.54050361,-0.14486456,1717803.0,2026-05-04T08:39:30.648Z,"Holiday Inn London Camden Lock is nestled in the heart of Camden offers scenic views of the waterfront. Just a 4-minute walk from Camden Town Underground Station, this contemporary hotel is designed for comfort and style, featuring rooms equipped with power showers. From Camden Town Station, it's just a quick 5-minute tube ride to King’s Cross St Pancras. Explore Camden Town's vibrant bars, restaurants, markets, and music venues like the Jazz Cafe and Roundhouse Theater, all within walking distance. Regent’s Park and London Zoo are also just a leisurely 15-minute stroll away. Indulge in seasonal menus crafted from fresh ingredients and light snacks at our Lobby Bar, which also serves Starbucks coffee. Guests can stay active with our mini-gym facilities. Each bright room comes equipped with a satellite TV and hairdryer, and every private bathroom includes bathroom amenities and a refreshing power shower. Enjoy the convenience of 24-hour room service during your stay ",en,[]
Best Western Buckingham Palace Road,London,UK,Westminster - Houses of Parliament - Victoria,3.0,7.9,1303.0,Good,8.5,8.9,9.0,51.49194191,-0.14606706,8286503.0,2026-05-04T08:39:31.883Z,"Located within 5 minutes’ walk of London Victoria Rail and Underground Station, the Best Western Buckingham Palace Rd is just a 15-minute walk from Buckingham Palace and its gardens. Less than 1-mile from the Houses of Parliament and Westminster Abbey, this hotel offers free Wi-Fi and a 24-hour front desk. Oxford Street’s shops are just a 2-minute tube journey from Victoria Underground. Hyde Park is just over 1-mile from the hotel. The Gatwick Express train service runs regularly from Victoria Railway Station to London Gatwick Airport. A satellite TV, a hairdryer and tea and coffee making facilities are provided in each room, which also has a private bathroom with a power shower. Takeaway continental breakfast is available daily in the comfort of your room at an additional cost. When booking 4 rooms or more, different policies and additional supplements may apply. ",en,[]
Kimpton Fitzroy London By IHG,London,UK,Bloomsbury - Marble Arch - Kings Cross Station & British Museum,5.0,8.9,866.0,Very Good,9.3,9.4,9.2,51.5224027400001,-0.126976800999955,528602.0,2026-05-04T08:39:33.380Z,"Kimpton Fitzroy London by IHG features free bikes, fitness center, a restaurant and bar in London. Featuring room service, this property also provides guests with a sun terrace. The property is 1.1 miles from the city center and a 7-minute walk from British Museum. The hotel offers a buffet or Full English/Irish breakfast. Speaking Mandarin, English, Spanish and French, staff are always on hand to help at the reception. Popular points of interest near Kimpton Fitzroy London by IHG include Euston Train Station, Royal Opera House and Dominion Theatre. London City Airport is 8.7 miles away. ",en,[]
The July - London Victoria,London,UK,Westminster - Houses of Parliament - Victoria,4.0,9.2,102.0,Excellent,,,,51.49506,-0.14134,375402904.0,2026-05-04T08:39:36.520Z,"Featuring a fitness center, a restaurant as well as a bar, The July - London Victoria is located in the center of London, a 5-minute walk from Victoria Train Station. This 4-star hotel has a spa experience, with its sauna and spa center. The property provides a concierge service, and luggage storage for guests. The rooms at the hotel come with a flat-screen TV and a kitchen. With a private bathroom equipped with a shower and free toiletries, rooms at The July - London Victoria also have free WiFi, while some rooms also offer a city view. All rooms will provide guests with a closet and a coffee machine. A buffet breakfast is available at the accommodation. Speaking Greek, English, Spanish and Italian at the 24-hour front desk, staff are always at hand to help. Popular points of interest near The July - London Victoria include Victoria Tube Station, Buckingham Palace and Westminster Abbey. London City Airport is 11 miles from the property. ",en,[]
DoubleTree by Hilton Hotel London - Hyde Park,London,UK,Notting Hill - Paddington Station Area,4.0,7.5,1169.0,Good,8.0,9.0,8.6,51.51020374,-0.19071011,481902.0,2026-05-04T08:39:40.718Z,"Overlooking Kensington Gardens and Hyde Park, the 4-star DoubleTree by Hilton London - Hyde Park offers an elegant brasserie and modern air-conditioned rooms, a 3-minute walk from Bayswater and Queensway Tube Stations. The bright rooms at DoubleTree by Hilton London - Hyde Park are decorated with modern art, and have Hypnos beds covered with Egyptian cotton sheets and thick duvets. All rooms include a work desk, mini fridge and ironing facilities. With wall-to-ceiling windows, Urban Meadow offers stylish restaurant fare with a laid back rustic edge, with focus on grab and go items, sharing platters, and smaller grazing dishes that can be enjoyed as a light bite or tapas-style. An all day dining destination, it serves up contemporary wholesome food, carefully sourced from local producers. Guests can also dine al fresco on the spacious patio which provides a sheltered and relaxing haven with comfortable cushioned seating. Nearby Paddington Train Station offers excellent access to Heathrow Airport via the Heathrow Express 15-minute service. Oxford Street and West End theaters are a 10-minute Tube ride away. ",en,[]
"The Royal Horseguards Hotel, London",London,UK,Mayfair - Soho,4.0,8.5,2497.0,Very Good,8.9,9.7,9.1,51.5058042300001,-0.124175548999915,424503.0,2026-05-04T08:39:42.355Z,"Between the River Thames and Trafalgar Square, this 4-star hotel has a mix of history and modern style. It has a restaurant, the gym is open and river views. It is a Grade I listed building that overlooks the London Eye, just a short walk from the National Gallery. It also edges onto Covent Garden and Theatreland. Bedrooms offer Victorian elegance and modern features, including free Wi-Fi, Elemis toiletries, a 49-inch LCD TV, and free mineral water. The peaceful One Twenty One Two Restaurant at Royal Horseguards Hotel features fine food and wine. There is also an outdoor terrace for al fresco dining ",en,[]
Reem Hotel,London,UK,Notting Hill - Paddington Station Area,3.0,8.4,206.0,Very Good,8.9,9.1,9.2,51.51281,-0.19099613,613703.0,2026-05-04T08:39:43.257Z,"The Reem Hotel is 3-star hotel located 10 min walk from greenery of Hyde Park and 6 min walk from Bayswater Underground Station (Queensway Underground Station is also 9 min walk from this hotel). It has undergone a complete renovation in 2024. Within walking distance of peaceful Kensington Gardens, trendy Westbourne Grove and rather cool Portobello Road Market/Notting Hill, The Reem Hotel has a perfect location for all your travels. It offers modern and cozy rooms with private bathrooms (fluffy towels and luxurious toiletries), Air conditioning, mini fridge, safe and smart flat screen TV. The cozy rooms at The Reem each have tea/coffee facilities, work space and comfy beds. Ironing facilities (available on request at the reception) and free Wi-Fi access are also available. Continental Buffet Breakfast are served each morning in the bright and airy dining room with small outdoor terrace. Reception is open 24 hours and can help arrange theater tickets, sightseeing tours and book a taxi. Book your room now and stay in the heart of Bayswater with us! ",en,[]
Holiday Inn Express Southwark By IHG,London,UK,The City - Tower Bridge - St. Pauls Cathedral,3.0,8.0,1767.0,Very Good,8.4,8.9,8.8,51.506435205,-0.10190924,285503.0,2026-05-04T08:39:45.786Z,"In the vibrant South Bank district, Holiday Inn Express Southwark is within 0.5 miles of 2 Tube (subway) Stations. Modern air-conditioned rooms each have a flat-screen TV and private bathroom. All of the bright rooms have a radio, tea and coffee-making facilities and a work area. The contemporary bathroom facilities have a shower and hairdryer. The spacious Great Room serves extensive continental and cooked breakfast options, and the Lobby bar has a wide-screen TV for sports. Guests at the Holiday Inn Express Southwark are a 1-mile walk along the Thames from London Eye and Tower Bridge. The Tate Modern is less than a 10-minute walk away, and a short walk over the futuristic Millennium Bridge will take you to St Paul's Cathedral. ",en,[]
"The Clermont London, Charing Cross",London,UK,Mayfair - Soho,4.0,8.8,1879.0,Very Good,9.1,9.8,9.2,51.508358,-0.124777009999946,422103.0,2026-05-04T08:39:47.498Z,"Just steps from Trafalgar Square and Covent Garden, The Clermont London, Charing Cross is housed in a beautiful, Grade II-listed building next to Charing Cross train station. This 4-star hotel features a restaurant and stylish rooms. Smart, spacious rooms have unlimited free WiFi, free mini-bars and Nespresso coffee makers. The Clermont Restaurant and Bar offers an all-day dining venue and bar, where you can enjoy a classic afternoon tea, or a cocktail prepared by the in-house mixologist. The Clermont Restaurant and Bar offers views of the famous Strand below. You can reach sights including The Mall, The National Gallery and the banks of the River Thames within a short walk. Theatreland is within a 5-minute walk of the hotel. ",en,[]
