hotel_name;external_city;external_country;external_lat;external_lon;geocoded_lat;geocoded_lon;geocoder;matched_name;matched_type;distance_km;status
Shangri-La's Rasa Sayang Resort & Spa;Penang Island;Malaysia;5.4791422;100.2539368;5.4789837;100.2542801;photon;Shangri-La Rasa Sayang Resort & Spa, Batu Ferringhi, Malaysia;hotel/W/261193792;0.04;OK
Eden Resort;Phu Quoc Island;Vietnam;10.1796395;103.9686794;10.1785259;103.9705487;photon;Eden Resort, Phú Quốc, Việt Nam;bus_stop/N/11774825112;0.24;OK
The Grand Hotel;Nuwara Eliya;Sri Lanka;6.9684284;80.7646053;6.9684194;80.7646544;photon;The Grand Hotel, Nuwara Eliya, ශ්‍රී ලංකාව இலங்கை;hotel/W/258337380;0.01;OK
Temple Tree Resort & Spa;Pokhara;Nepal;28.2060046;83.9634612;28.2059923;83.9635441;photon;Temple Tree Resort & Spa, पोखरा, Nepal;hotel/W/369194643;0.01;OK
Shiva guest house;Varanasi;India;25.30538;83.0090194;25.30538;83.0090194;photon;Shiva Guest House, Varanasi, India;guest_house/N/5510955821;0.0;OK
Anantara Rasananda Koh Phangan Villas;Ko Pha Ngan;Thailand;9.779449;100.0553677;9.779449;100.0553677;photon;Anantara Rasananda Koh Phangan Villas, ตำบลบ้านใต้, ประเทศไทย;hotel/N/4753669826;0.0;OK
Milky Bay Resort;Ko Pha Ngan;Thailand;9.7028232;100.0115238;9.7028232;100.0115238;photon;Milky Bay Resort, เทศบาลตำบลเกาะพะงัน, ประเทศไทย;hotel/N/4496324839;0.0;OK
Strand Hotel;Singapore;Singapore;1.2986535;103.8497382;1.2986535;103.8497382;photon;Strand Hotel, Singapore, Singapore;hotel/N/4302906339;0.0;OK
Hotel Royal;Singapore;Singapore;1.3168306;103.8418595;1.3168306;103.8418595;photon;Hotel Royal, Singapore, Singapore;hotel/N/4302905828;0.0;OK
Yak Hotel;Lhasa;China;29.6556765;91.1310198;29.6556765;91.1310198;photon;亚宾馆, 拉萨市 ལྷ་ས་གྲོང་ཁྱེར།, 中国;hotel/N/1411385437;0.0;OK
Crown Hotel;Jinghong;China;22.0026076;100.7974654;22.0026076;100.7974654;photon;皇冠大酒店, 景洪市 ᦵᦋᧂ ᦣᦳᧂᧈ ᦉᦹᧈ, 中国;hotel/N/9921791117;0.0;OK
Crown Prince Hotel;Surabaya;Indonesia;-7.2713707;112.7420315;-7.2713482;112.7419543;photon;Hotel Crown Prince, Surabaya, Indonesia;hotel/W/184885822;0.01;OK
UZ Hostel;New Taipei;Taiwan;25.0523808;121.5343176;25.1718307;121.4390985;photon;台北旅人國際青年旅館, 新北市, 臺灣;hostel/N/4795960621;16.38;OK
Edelweiss;Almaty;Kazakhstan;43.1713978;77.0378434;43.1279345;77.0804335;photon;Edelweiss, Алматы, Қазақстан;restaurant/N/5212285819;5.94;OK
Grand Hyatt Fukuoka;Fukuoka;Japan;33.5898463;130.4103863;33.5898463;130.4103863;photon;Grand Hyatt Fukuoka, 福岡市, 日本;hotel/N/7021248966;0.0;OK
The Crown;Bhubaneswar;India;20.2922384;85.8185448;20.2922344;85.8187293;photon;The Crown, Bhubaneswar Municipal Corporation, India;hotel/W/1237536416;0.02;OK
Hotel Atithi;Pondicherry;India;11.9421869;79.8308845;11.9035682;79.810788;photon;PONDICHERRY INSTITUTE OF HOTEL MANAGEMENT AND CATERING TECHNOLOGY, Puducherry, India;yes/W/1192481454;4.82;OK
Hotel du Parc;Pondicherry;India;11.9351625;79.8338285;11.9351625;79.8338285;photon;Hôtel Du Parc, Puducherry, India;hotel/N/3349922536;0.0;OK
Cedar Inn;Darjeeling;India;27.0340479;88.2632086;27.0340479;88.2632086;photon;Cedar Inn, Darjeeling, India;hotel/N/4446515760;0.0;OK
Hotel Atithi;Guwahati;India;26.1784673;91.7509588;26.1784673;91.7509588;photon;Hotel Atithi, Guwahati, India;hotel/N/11932551852;0.0;OK
Millennium Hotel;Yangon (Rangoon);Myanmar;16.7697;96.1737419;16.7697;96.1737419;photon;Millennium Hotel, ရန်ကုန်, မြန်မာ;hotel/N/3507962378;0.0;OK
Seagull Hotel;Quy Nhon;Vietnam;13.7564276;109.2185593;13.7564277;109.2185593;photon;Khách sạn Hải Âu, Quy Nhơn Nam, Việt Nam;hotel/W/741785272;0.0;OK
Milano Tourist Rest;Anuradhapura;Sri Lanka;8.3192937;80.4059544;8.3192937;80.4059544;photon;Hamilton tourist rest, Anuradhapura, ශ්‍රී ලංකාව இலங்கை;hotel/N/11473330896;0.0;OK
La Bila Dive Resort;Karangasem;Indonesia;-8.3357729;115.6489516;-8.3356908;115.648954;photon;La Bila Dive Resort, Amed, Indonesia;dive_centre/N/6636761818;0.01;OK
Dolce Vita;Puerto Princesa;Philippines;9.7522276;118.7507434;9.7522276;118.7507434;photon;Dolce Vita, Puerto Princesa, Philippines;hotel/N/485779069;0.0;OK
Teddy Bear Hotel;Emeishan;China;29.5693419;103.4488822;29.5693419;103.4488822;photon;Teddy Bear Hotel, 红珠山, 中国;hostel/N/2414711971;0.0;OK
J Hotel;Johor Bahru;Malaysia;1.459428;103.7648309;1.4949588;103.8145819;photon;GreenTree Hotel Johor Bahru, Kampung Senibong, Malaysia;construction/W/1444683031;6.8;OK
Fountain Hotel;Mahabaleshwar;India;17.9172622;73.6601319;17.9172622;73.6601319;photon;Fountain Hotel, Mahabaleshwar, India;hotel/N/2879917659;0.0;OK
Spring Hotel;Can Tho;Vietnam;10.0238335;105.7713908;10.0238362;105.7713923;photon;Spring Hotel, Cần Thơ, Việt Nam;hotel/W/343923391;0.0;OK
White Sand Beach Resort;Ko Chang;Thailand;12.1167001;102.2649786;12.1167001;102.2649786;photon;White Sand Beach Resort, บ้านคลองสน, ประเทศไทย;hotel/N/1910446546;0.0;OK
Ambassador Hotel;Bishkek;Kyrgyzstan;42.8689525;74.6019118;42.8690235;74.602062;photon;Амбассадор отель, Бишкек, Кыргызстан;hotel/W/219773465;0.01;OK
Grand Hotel;Bishkek;Kyrgyzstan;42.881819;74.5833549;42.881819;74.5833549;photon;Grand Hotel, Бишкек, Кыргызстан;hotel/N/1432799707;0.0;OK
Garden Hotel;Bishkek;Kyrgyzstan;42.8522913;74.6145834;42.8522913;74.6145834;photon;Hotel Garden, Бишкек, Кыргызстан;hotel/W/189351251;0.0;OK
Art Hostel;Tashkent;Uzbekistan;41.2987109;69.2625359;41.2987109;69.2625359;photon;Art Hostel, Toshkent, Oʻzbekiston;hostel/N/4221398290;0.0;OK
Villa Jacaranda;Varkala;India;8.7310386;76.7083181;8.7310386;76.7083181;photon;Villa Jacaranda, Varkala, India;guest_house/N/13458344758;0.0;OK
My Place;Naha;Japan;26.226707;127.681713;26.226932;127.681424;photon;My Place（マイプレイス）, 那覇市, 日本;bicycle_rental/N/11030950772;0.04;OK
Oasis  Hotel;Geoje;South Korea;34.8856601;128.6039197;34.885674;128.603391;photon;Oasis Hotel, 거제시, 대한민국;hotel/W/241187586;0.05;OK
Lighthouse Hotel;Geoje;South Korea;34.8635868;128.7296065;34.8635868;128.7296065;photon;라이트하우스호텔, 거제시, 대한민국;hotel/N/368953694;0.0;OK
Water Garden Sigiriya;Sigiriya;Sri Lanka;7.992271;80.7453207;7.992271;80.7453207;photon;Water Garden Sigiriya, Sigiriya, ශ්‍රී ලංකාව இலங்கை;hotel/N/4516651490;0.0;OK
The Nest;Canacona;India;15.0072546;74.0265732;15.0072546;74.0265732;photon;The Nest, Kolamb, India;guest_house/N/2625102724;0.0;OK
J Hotel;Ulaanbaatar;Mongolia;47.9138455;106.9296021;47.9138455;106.9296021;photon;J Hotel, Улан-Батор, Монгол улс ᠮᠤᠩᠭᠤᠯ ᠤᠯᠤᠰ;hotel/N/4173664737;0.0;OK
Koh Tao Coral Grand Resort;Koh Tao;Thailand;10.1037137;99.8279338;10.1037137;99.8279338;photon;Coral Grand Resort, ตำบลเกาะเต่า, ประเทศไทย;hotel/N/3582426695;0.0;OK
Green Hotel;Hai Phong;Vietnam;20.6377793;106.4092201;20.6377793;106.4092201;photon;Phụ Dực, Việt Nam;hotel;0.0;OK
Royal Hotel;Bogor;Indonesia;-6.6026831;106.7950501;-6.6026405;106.7951829;photon;Royal Hotel Bogor, Bogor, Indonesia;hotel/N/1827301699;0.02;OK
Savoy Hotel;Daegu;South Korea;35.872412;128.591125;35.8721189;128.5980323;photon;Rivertain Hotel Daegu, 대구광역시, 대한민국;hotel/W/661166804;0.62;OK
Paradise Hotel;Udon Thani;Thailand;17.3998037;102.799402;17.3997908;102.7994033;photon;อุดรธานี, ประเทศไทย;hotel/W/310801691;0.0;OK
Baia Do sol;Baga;India;15.5627504;73.7489731;15.5627504;73.7489731;photon;Baia Do Sol, Calangute, India;hotel/N/2656687906;0.0;OK
ABC Hotel;Angeles City;Philippines;15.1670108;120.5895911;15.1655932;120.5813504;photon;ABC Hotel Back Bicycle Parking, Angeles, Philippines;bicycle_parking/N/11470070511;0.9;OK
Trinco Blu By Cinnamon;Trincomalee;Sri Lanka;8.6181358;81.2179202;8.618104;81.2179033;photon;Trinco Blu by Cinnamon, Uppuveli, ශ්‍රී ලංකාව இலங்கை;hotel/W/363859944;0.0;OK
Coron Ecolodge;Busuanga Island;Philippines;11.9982547;120.2044556;12.0462544;120.1388423;photon;Busuanga Island Paradise, Coron, Philippines;hotel/W/245886766;8.91;OK
Hotel Swagat;Mount Abu;India;24.591627;72.7134095;24.5917317;72.7131359;photon;Hotel Swagat, Mount Abu, India;restaurant/N/3902020977;0.03;OK
Hotel Excelsior;Karachi;Pakistan;24.8564257;67.0301185;24.8564257;67.0301185;photon;Hotel Excelsior, Karachi, پاکستان;hotel/N/5119945178;0.0;OK
Hotel Aurora;Mandalay;Myanmar;21.9831127;96.074495;21.9831127;96.074495;photon;Hotel Aurora, မန္တလေး, မြန်မာ;hotel/N/6822282577;0.0;OK
Hotel Sahara;Mandalay;Myanmar;21.9827882;96.0842006;21.9827883;96.0842006;photon;Sahara Hotel, မန္တလေး, မြန်မာ;hotel/W/286369039;0.0;OK
Hotel Imperial;Ujjain;India;23.1681754;75.773379;23.1681754;75.773379;photon;Hotel Imperial, Ujjain, India;hotel/N/13909336994;0.0;OK
Garden Hotel;Datong;China;40.0890374;113.2949447;40.0890374;113.2949447;photon;花园大饭店, 大同市, 中国;hotel/N/4228045689;0.0;OK
Coron Village Lodge;Coron;Philippines;11.9991399;120.2070322;11.9991797;120.207036;photon;Coron Village Lodge, Coron, Philippines;guest_house/W/173939221;0.0;OK
Le Bokor Palace;Kampot;Cambodia;10.6221056;104.0266663;10.622115;104.0266912;photon;Le Bokor Palace, ព្រះរាជាណាចក្រ​កម្ពុជា;hotel/W/362052245;0.0;OK
The Columns;Kampot;Cambodia;10.6068935;104.1808635;10.6068935;104.1808635;photon;The Columns, Kampot, ព្រះរាជាណាចក្រ​កម្ពុជា;hotel/N/3210023799;0.0;OK
ALTA Cebu Resort;Mactan Island;Philippines;10.2672788;123.9434189;10.3076925;124.0201879;photon;Shangrila Mactan Island Resort, Lapu-Lapu, Philippines;resort/W/334271533;9.53;OK
Shin Yokohama Prince Hotel;Yokohama;Japan;35.5100187;139.6195177;35.5100187;139.6195177;photon;新横浜プリンスホテル, 横浜市, 日本;hotel/N/1704637305;0.0;OK
La Bila Dive Resort;Amed;Indonesia;-8.3357729;115.6489516;-8.3356908;115.648954;photon;La Bila Dive Resort, Amed, Indonesia;dive_centre/N/6636761818;0.01;OK
Cinnamon Bentota Beach;Bentota;Sri Lanka;6.4246917;79.9971408;6.4246917;79.9971408;photon;Bentota Beach by Cinnamon, Bentota, ශ්‍රී ලංකාව இலங்கை;hotel/N/4513519118;0.0;OK
City Hotel;Samarkand;Uzbekistan;39.6429538;66.9601107;39.6429406;66.9601585;photon;Hotel City Samarkand, Samarqand, Oʻzbekiston;hotel/W/310933411;0.0;OK
Anantara Layan Phuket Resort;Choeng Thale;Thailand;8.0356405;98.2845141;8.0356405;98.2845141;photon;Anantara Layan Phuket Resort, ตำบลเชิงทะเล, ประเทศไทย;hotel/N/8410194439;0.0;OK
Park Residency;Kozhikode;India;11.3066824;75.8789336;11.1514647;75.8938763;photon;park view residency, Kakkancheri, India;hotel;17.34;OK
Beach Hotel;Kozhikode;India;11.2523698;75.7712899;11.2523698;75.7712899;photon;Beach Hotel, Kozhikode, India;hotel/N/778837193;0.0;OK
Siladen Resort & Spa;Manado;Indonesia;1.6321626;124.8004402;1.6325088;124.8005508;photon;Siladen Resort&Spa, Manado, Indonesia;hotel/W/779304062;0.04;OK
Hilton Tokyo Odaiba;Minato;Japan;35.6262888;139.7706538;35.6262864;139.7707796;photon;ヒルトン東京お台場, 港区, 日本;hotel/R/5804890;0.01;OK
Dubai Hotel;Gwangju;South Korea;35.162437;126.90682;35.167858;126.9243333;photon;광주동신여자중학교, 광주광역시, 대한민국;school/N/368923682;1.7;OK
Uluwatu Cottages;Pecatu;Indonesia;-8.8142994;115.0922216;-8.8141594;115.0922555;photon;Uluwatu Cottages, Kuta Selatan, Indonesia;hotel/W/560609968;0.02;OK
Grand Park Hotel;Nakhon Si Thammarat;Thailand;8.4392051;99.9644953;8.4392051;99.9644953;photon;Grand Park Hotel, นครศรีธรรมราช, ประเทศไทย;hotel/N/2412771412;0.0;OK
Lotus 2 Guest House;Magelang;Indonesia;-7.6063788;110.2127974;-7.6063788;110.2127974;photon;Lotus 2 Guesthouse, Borobudur, Indonesia;guest_house/N/1370744331;0.0;OK
Amanjiwo;Magelang;Indonesia;-7.6316765;110.2019995;-7.6316765;110.2019995;photon;Amanjiwo, Majaksingi, Indonesia;hotel/N/6035086289;0.0;OK
Dream Hostel;Ha Giang;Vietnam;22.8212983;104.9845376;22.8212983;104.9845376;photon;Dream Hostel, Hà Giang 2, Việt Nam;hostel/N/5571123124;0.0;OK
The Tower Hotel;London;United Kingdom (UK);51.5066195;-0.0731941;51.5066219;-0.0732841;photon;The Tower Hotel, London, United Kingdom;hotel/W/288320597;0.01;OK
Hotel Lisboa;Lisbon;Portugal;38.7222411;-9.1463048;38.7282868;-9.1476062;photon;Hotel Eurostars Lisboa Parque, Lisboa, Portugal;hotel/N/1155373582;0.68;OK
Hotel De Paris;Anapa;Russia;44.897959;37.3224163;44.897959;37.3224163;photon;Hotel de Paris, Анапа, Россия;hotel/N/3560345822;0.0;OK
Hotel Regina;Madrid;Spain;40.4179496;-3.6998271;40.4179496;-3.6998271;photon;Hotel Regina, Madrid, España;hotel/N/847927735;0.0;OK
Freedom Hostel Budva;Budva Municipality;Montenegro;42.2784679;18.8384846;42.2784679;18.8384846;photon;Freedom Hostel, Budva, Crna Gora / Црна Гора;hostel/N/7739413485;0.0;OK
Hotel Park;Split;Croatia;43.5031391;16.4482563;43.5031391;16.4482563;photon;Hotel Park, Split, Hrvatska;hotel/W/142955078;0.0;OK
Hotel Abba;Amsterdam;The Netherlands;52.3627648;4.8745728;52.3627648;4.8745728;photon;Hotel ABBA, Amsterdam, Nederland;hotel/N/977338029;0.0;OK
Hotel Eden;Rimini;Italy;44.1477832;12.4663277;44.1477603;12.4663032;photon;Hotel Eden, Bellaria-Igea Marina, Italia;hotel/W/223772695;0.0;OK
Hotel More;Dubrovnik;Croatia;42.6481807;18.1029366;42.6234325;18.1959286;photon;Sheraton Dubrovnik Riviera Hotel, Srebreno, Hrvatska;hotel/N/4282224290;8.09;OK
Ariston Hotel;Dubrovnik;Croatia;42.6593072;18.0589322;42.6592836;18.0588916;photon;Hotel Ariston, Dubrovnik, Hrvatska;hotel/W/102693054;0.0;OK
Hotel America;Porto;Portugal;41.1551452;-8.6045745;41.1551452;-8.6045745;photon;Hotel América, Porto, Portugal;hotel/N/9925225100;0.0;OK
The Manhattan;Blackpool;United Kingdom (UK);53.8236698;-3.0523139;53.8236698;-3.0523139;photon;The Manhattan, Blackpool, United Kingdom;guest_house/N/9151964521;0.0;OK
The Imperial Hotel;Blackpool;United Kingdom (UK);53.8273644;-3.0545048;53.8273564;-3.0544705;photon;The Imperial Hotel, Blackpool, United Kingdom;hotel/R/11992884;0.0;OK
Mediteran;Zadar;Croatia;44.1368575;15.2212708;44.1368575;15.2212708;photon;Mediteran, Zadar, Hrvatska;hotel/N/1435989552;0.0;OK
Castle Inn;Warsaw;Poland;52.248216;21.0139399;52.248216;21.0139399;photon;Castle Inn, Warszawa, Polska;hotel/N/3129302636;0.0;OK
Hotel Royal;Vienna;Austria;48.2078844;16.3723234;48.2078844;16.3723234;photon;Hotel Royal, Wien, Österreich;hotel/N/956430138;0.0;OK
Hotel Regina;Vienna;Austria;48.2162554;16.3596582;48.2162554;16.3596582;photon;Hotel Regina, Wien, Österreich;hotel/N/1904570209;0.0;OK
Hotel Internazionale;Bologna;Italy;44.5010259;11.3441442;44.5010259;11.3441442;photon;Hotel Internazionale, Bologna, Italia;hotel/N/4275280763;0.0;OK
Panorama Hotel;Bologna;Italy;44.4951319;11.3395463;44.4951319;11.3395463;photon;Hotel Panorama, Bologna, Italia;hotel/N/3645734956;0.0;OK
Hotel Oasis;Lefkada;Greece;38.7230816;20.7256407;38.7230816;20.7256407;photon;Hotel Oasis, Δημοτική Ενότητα Λευκάδος, Ελλάς;hotel/N/3029484272;0.0;OK
Hilton Malta;Island of Malta;Malta;35.9221359;14.4936246;35.9032565;14.5001483;photon;Chapel of Saint George, Il-Gżira Manoel, Malta;yes;2.18;OK
Hotel Valentina;Island of Malta;Malta;35.9226486;14.4913281;35.9226486;14.4913281;photon;Valentina Hotel, San Ġiljan, Malta;hotel;0.0;OK
Rembrandt Hotel;Bucharest;Romania;44.4323329;26.1000788;44.4323329;26.1000788;photon;Rembrandt Hotel, București, România;hotel/N/2486324803;0.0;OK
Capitol Hotel;Bucharest;Romania;44.4354765;26.09759;44.4354821;26.0977341;photon;Hotel Capitol, București, România;hotel/W/164369112;0.01;OK
Hotel Adriatic;Rovinj;Croatia;45.0819185;13.6341347;45.0819185;13.6341347;photon;Hotel Adriatic, Rovinj, Hrvatska;hotel/N/1625109344;0.0;OK
Hotel Central;Sarajevo;Bosnia and Herzegovina;43.8578887;18.4260228;43.8579245;18.4260293;photon;Hotel Central, Sarajevo, Bosna i Hercegovina / Босна и Херцеговина;hotel/W/190229431;0.0;OK
Hotel Dali;Constanta;Romania;44.1824928;28.652346;44.182495;28.6523517;photon;Hotel Dali, Constanța, România;hotel/W/1257409680;0.0;OK
Something Else;Naxos;Greece;37.0689144;25.3569734;37.0689144;25.3569734;photon;Something Else, Άγιος Αρσένιος, Ελλάς;hotel/N/5810260916;0.0;OK
Riviera;Kazan;Russia;55.8153887;49.1300314;55.8152959;49.130032;photon;Ривьера, Казань, Россия;hotel/W/83289881;0.01;OK
Hotel Aurora;Elba Island;Italy;42.7595546;10.1124517;42.7595695;10.1124631;photon;Hotel Aurora, Marciana, Italia;hotel;0.0;OK
Hotel Park;Makarska;Croatia;43.2997186;17.0134874;43.2997186;17.0134874;photon;Hotel Park, Makarska, Hrvatska;hotel/N/335605123;0.0;OK
Hotel zur Post;Usedom Island;Germany;53.9707524;14.1433939;53.9707498;14.1434339;photon;Hotel zur Post, Heringsdorf, Deutschland;hotel;0.0;OK
Villa Bianca;Isola d'Ischia;Italy;40.7222466;13.8635312;40.7222466;13.8635312;photon;Villa Bianca, Forio, Italia;hotel;0.0;OK
George Hotel;Lviv;Ukraine;49.8388551;24.0306279;49.8388551;24.0306279;photon;Жорж, Львів, Україна;hotel/N/5674407072;0.0;OK
Savoy Hotel;Cologne;Germany;50.9464796;6.9571311;50.9464886;6.957139;photon;Savoy Hotel, Köln, Deutschland;hotel/W/144886425;0.0;OK
Aria;Herceg-Novi Municipality;Montenegro;42.4508103;18.551734;42.4508103;18.551734;photon;Aria, Herceg Novi, Crna Gora / Црна Гора;hotel/N/4431626224;0.0;OK
Plaza Hotel;Salerno;Italy;40.6750366;14.7713963;40.6750366;14.7713963;photon;Hotel Plaza, Salerno, Italia;hotel/N/12787603824;0.0;OK
Casa Maria;Salerno;Italy;40.6800129;14.7556368;40.6800129;14.7556368;photon;Casa Maria, Salerno, Italia;guest_house/N/13247505601;0.0;OK
Angel Hotel;Samara;Russia;53.350872;50.2222957;53.350872;50.2222957;photon;Angel hotel, Самара, Россия;hotel/N/1498506837;0.0;OK
Apollon Hotel;Kos;Greece;36.9114018;27.2781267;36.9114018;27.2781267;photon;Apollon Hotel, Λάμπη, Ελλάς;hotel/N/2116212596;0.0;OK
Grand Palace Hotel;Riga;Latvia;56.9502107;24.1029599;56.9502107;24.1029599;photon;Grand Palace Hotel, Rīga, Latvija;hotel/N/4779360377;0.0;OK
Panorama Hotel;Skiathos;Greece;39.1520195;23.3983106;39.1520195;23.3983106;photon;Panorama Hotel, Skiathos, Ελλάς;hotel/N/3037795754;0.0;OK
Atrium Hotel;Skiathos;Greece;39.1432336;23.4357324;39.1432475;23.4357112;photon;Atrium Hotel, Platanias, Ελλάς;hotel/W/635556395;0.0;OK
Calypso;Sukhumi;Georgia;42.997124;40.996427;43.0063631;41.0229825;photon;Сухумский ботанический сад, Сухум, საქართველო;park/W/79142955;2.39;OK
Hotel Helvetia;Jesolo;Italy;45.4164454;12.3689516;45.4994437;12.6282453;photon;Helvetia, Jesolo, Italia;hotel/W/178471854;22.23;OK
Art Hotel;Wroclaw;Poland;51.112182;17.0299191;51.112182;17.0299191;photon;Art Hotel, Wrocław, Polska;hotel/N/4108351492;0.0;OK
Hotel Continental;Sorrento;Italy;40.6270236;14.3700888;40.6270248;14.3702263;photon;Continental Hotel, Sorrento, Italia;hotel/W/301978881;0.01;OK
Hotel Miramar;Sozopol;Bulgaria;42.3897871;27.7038177;42.3897957;27.703815;photon;Hotel Miramar, Созопол, Бългaрия;hotel/W/1086190226;0.0;OK
Casa del Sol;Sozopol;Bulgaria;42.4162017;27.6994763;42.4162017;27.6994763;photon;Casa Del Sol, Созопол, Бългaрия;hotel/N/11257960834;0.0;OK
Hotel Continental;Genoa;Italy;44.4167044;8.9233607;44.4167044;8.9233607;photon;Hotel Continental Genoa, Genova, Italia;hotel/N/5493155180;0.0;OK
Dan Hotel;Riccione;Italy;44.0926188;12.5319344;44.0225803;12.632145;photon;Club Family Hotel Village Riccione, Riccione, Italia;hotel/W/226319085;11.17;OK
Hotel Ala;Riccione;Italy;43.9082175;12.9252469;44.0016316;12.6617958;photon;Le Grand Hotel Riccione, Riccione, Italia;hotel/W/123962041;23.51;OK
Palace Hotel;Bari;Italy;41.1261961;16.8652691;41.1261961;16.8652691;photon;Palace Hotel, Bari, Italia;hotel/N/2775640773;0.0;OK
Hotel Majestic;Cervia;Italy;44.2871484;12.3496449;44.2871484;12.3496449;photon;Hotel Majestic, Cervia, Italia;hotel/N/9824743661;0.0;OK
Hotel Brasil;Cervia;Italy;44.2723667;12.3542531;44.2723666;12.3542532;photon;Hotel Brasil, Cervia, Italia;hotel/W/162978773;0.0;OK
Hotel Alexander;Cervia;Italy;44.2741006;12.352837;44.2741081;12.352837;photon;Hotel Alexander, Cervia, Italia;hotel/W/162976193;0.0;OK
Hotel Mondial;Tirana;Albania;41.3267197;19.8026541;41.3267123;19.8026595;photon;Hotel Mondial, Tirana, Shqipëria;hotel/W/196893237;0.0;OK
Sky Hotel;Tirana;Albania;41.3223759;19.8181872;41.3223759;19.8181872;photon;Sky Hotel, Tirana, Shqipëria;hotel/N/11123991370;0.0;OK
Hotel Excelsior;Frankfurt;Germany;50.1055622;8.6642148;50.1055622;8.6642148;photon;Hotel Excelsior, Frankfurt am Main, Deutschland;hotel/N/658446087;0.0;OK
Hotel Eilean Iarmain;Isle of Skye;United Kingdom (UK);57.1453676;-5.7994966;57.1453787;-5.7995012;photon;Hotel Eilean Iarmain, Isle of Skye, United Kingdom;hotel/W/300950101;0.0;OK
Duisdale House Hotel;Isle of Skye;United Kingdom (UK);57.1567712;-5.802934;57.1567712;-5.802934;photon;Duisdale House Hotel, Isle of Skye, United Kingdom;restaurant/N/6048772421;0.0;OK
