"Nome do Hotel","Estrelas","Morada","Cidade","Pais","Latitude","Longitude","Notas"
"Hotel Berolina","","","Berlin","Germany","52.5174707","13.4152062","defunct; localização aproximada (hotel próximo na cidade correta)"
"Hotel Bristol","","","Berlin","Germany","52.5037269","13.3272471","defunct"
"Hotel Esplanade","","","Berlin","Germany","52.5056254","13.3548489","defunct"
"Hotel Excelsior","","","Berlin","Germany","52.5036649","13.3516814","defunct; localização aproximada (hotel próximo na cidade correta)"
"Hotel Fuerstenhof","","","Berlin","Germany","52.4314392","13.2587721","defunct; localização aproximada (sem etiqueta 'hotel' no OSM)"
"Hotel Kaiserhof","","","Berlin","Germany","52.4447925","13.5761985","defunct; localização aproximada (sem etiqueta 'hotel' no OSM)"
"Miniloft","","Anklamer Strasse 53","Berlin","Germany","52.5033514","13.3924845",""
"Nhow Berlin","","Stralauer Allee 3","Berlin","Germany","52.5010944","13.4508476",""
"Park Inn Berlin","","Alexanderplatz 7","Berlin","Germany","52.5228403","13.4127893","localização aproximada (hotel próximo na cidade correta)"
"Swissoetel Berlin","","Hardenbergplatz 4","Berlin","Germany","52.5228403","13.4127893","Zoofenster; localização aproximada (hotel próximo na cidade correta)"
"The Charles Hotel","","Sophienstrasse 28","Munich","Germany","48.1428924","11.5625182",""
"Hilton Munich Airport","","","Hallbergmoos","Germany","48.3315936","11.7403494","near Munich airport"
"Hotel Koenigshof","","Arnulfstrasse 2","Munich","Germany","48.1396486","11.5645371",""
"Kempinski Hotel Airport Munich","","","Hallbergmoos","Germany","48.3305321","11.7296488","near Munich airport"
"Mandarin Oriental Munich","","Neuturmstrasse 1","Munich","Germany","48.1372989","11.5807333","localização aproximada (hotel próximo na cidade correta)"
"Hotel Bellavista","","","Andorra la Vella","Andorra","42.5084414","1.5269239","former hotel; 42.5078, 1.5245; localização aproximada (hotel próximo na cidade correta)"
"Hotel Bringue","","","Ordino","Andorra","42.6197666","1.5400601","42.6186, 1.5394"
"Hotel Kandahar","4 estrelas","","Pas de la Casa","Andorra","42.5411615","1.7320321","ski resort; 42.5411, 1.7319"
"Hostal Palanques","","Avinguda Sant Antoni, 16","La Massana","Andorra","42.5071323","1.5204253","heritage; localização aproximada (hotel próximo na cidade correta)"
"Hotel Pyrenees","4 estrelas","","Andorra la Vella","Andorra","42.5074629","1.5196458",""
"Sport Hotel","4 estrelas","","Soldeu","Andorra","42.575475","1.670827","42.5761, 1.6697"
"Aleksandar Palas Hotel","","","Belgrade","Serbia","44.8195159","20.4724492","localização aproximada (hotel próximo na cidade correta)"
"Hotel Astoria","","Milovan Milovanovic St. 1","Belgrade","Serbia","44.8093138","20.4574887",""
"Hotel Bristol Belgrade","","","Belgrade","Serbia","44.8127512","20.4526281","localização aproximada (hotel próximo na cidade correta)"
"Crowne Plaza Belgrade","","Vladimira Popovica 10","Belgrade","Serbia","44.8094351","20.4341496",""
"Hotel Jugoslavija","","Bulevar Nikole Tesle 3","Belgrade","Serbia","44.812876","20.4604199","localização aproximada (hotel próximo na cidade correta)"
"Hotel Moskva","","Terazije","Belgrade","Serbia","44.812876","20.4604199","localização aproximada (hotel próximo na cidade correta)"
"Metropol Hotel","","Bulevar kralja Aleksandra 69","Belgrade","Serbia","44.8067879","20.4737746",""
"Hotel Slavija Lux","","Slavija Square","Belgrade","Serbia","44.8178131","20.4568974","coordenada do centro da cidade (hotel não localizado em OSM)"
"Ambasador Hotel","","Kralja Milana Square","Nis","Serbia","43.3212006","21.8965559","localização aproximada (sem etiqueta 'hotel' no OSM)"
"InterContinental Dhaka","","","Dhaka","Bangladesh","23.7412386","90.3970716","localização aproximada (hotel próximo na cidade correta)"
"The Westin Dhaka","","","Dhaka","Bangladesh","23.7932354","90.4145735",""
"Le Meridien Dhaka","","","Dhaka","Bangladesh","23.8364188","90.4179539",""
"Pan Pacific Sonargaon","","","Dhaka","Bangladesh","23.7495727","90.3948725",""
"Radisson Blu Dhaka Water Garden","","","Dhaka","Bangladesh","23.8160348","90.4087008",""
"Renaissance Hotel Dhaka","","","Dhaka","Bangladesh","23.7932354","90.4145735",""
"Sheraton Dhaka","","","Dhaka","Bangladesh","23.7932354","90.4145735",""
"Hotel Agrabad","","","Chittagong","Bangladesh","22.326891","91.816381",""
"Sayeman Beach Resort","","","Cox's Bazar","Bangladesh","21.4142551","91.9842215",""
"Sea Pearl Beach Resort & Spa","","","Cox's Bazar","Bangladesh","21.2157541","92.0489087",""
"Atlantis Paradise Island","","","Paradise Island","Bahamas","25.0845494","-77.3163713",""
"British Colonial Hilton Nassau","","","Nassau","Bahamas","25.078226","-77.345718",""
"The Cove Atlantis","","","Paradise Island","Bahamas","25.0866837","-77.3268641",""
"Grand Central Hotel","","","Nassau","Bahamas","25.0782266","-77.3383438","coordenada do centro da cidade (hotel não localizado em OSM)"
"Regatta Point","","","Nassau","Bahamas","25.0642593","-77.480047",""
"Graycliff","","","Nassau","Bahamas","25.079519","-77.3414265","localização aproximada (sem etiqueta 'hotel' no OSM)"
"Xanadu Beach Resort & Marina","","","Freeport","Bahamas","26.535681","-78.6953623","Grand Bahama; coordenada do centro da cidade (hotel não localizado em OSM)"
"The Crane","","","Saint Philip","Barbados","13.1056128","-59.4463642",""
"Fairmont Royal Pavilion","","","Saint James","Barbados","13.2019349","-59.6402167",""
"Sandy Lane","","","Holetown","Barbados","13.1735581","-59.6350311","Saint James"
"Hotel Astoria","","Rue Royale 103","Brussels","Belgium","50.8512399","4.3653009",""
"Hotel Le Plaza","","Boulevard Adolphe Max 118","Brussels","Belgium","50.854478","4.3561286","localização aproximada (hotel próximo na cidade correta)"
"Hotel Metropole","","Place de Brouckere 31","Brussels","Belgium","50.8512399","4.3653009","localização aproximada (hotel próximo na cidade correta)"
"The Hotel Brussels","","Boulevard de Waterloo 38","Brussels","Belgium","50.8373904","4.3572966",""
"Chaa Creek","","","San Ignacio","Belize","17.1083524","-89.074335","near Benque Viejo"
"Pook's Hill Lodge","","","San Ignacio","Belize","17.1678919","-89.1023738","localização aproximada (hotel próximo na cidade correta)"
"San Ignacio Resort Hotel","","","San Ignacio","Belize","17.1537018","-89.0684371",""
"Benin Marina Hotel","","","Cotonou","Benin","6.3494625","2.3937134",""
"9 Beaches","","","Sandys Parish","Bermuda","32.3081524","-64.8686503",""
"Elbow Beach","","","Paget Parish","Bermuda","32.2756442","-64.7764872",""
"The Fairmont Hamilton Princess","","","Hamilton","Bermuda","32.29052","-64.7919733",""
"Hamilton Hotel","","","Hamilton","Bermuda","32.3394123","-64.7012052","defunct; localização aproximada (hotel próximo na cidade correta)"
"The Reefs","","","Southampton","Bermuda","32.2490269","-64.8397506",""
"Hotel Jumolhari","","","Thimphu","Bhutan","27.4743322","89.6301652","localização aproximada (hotel próximo na cidade correta)"
"Hotel Motithang","","","Thimphu","Bhutan","27.4749622","89.6196434","localização aproximada (hotel próximo na cidade correta)"
"Hotel Wangchuck","","","Thimphu","Bhutan","27.4708353","89.6400825","localização aproximada (hotel próximo na cidade correta)"
"Taj Tashi","","","Thimphu","Bhutan","27.4614755","89.6421544",""
"Palacio de Sal","","","Salar de Uyuni","Bolivia","-20.3052504","-66.9739805","verificar localização (nome coincide, fora da cidade indicada)"
"Divi Flamingo Beach Resort & Casino","","","Kralendijk","Bonaire","12.1310269","-68.2649182","coordenada do centro da cidade (hotel não localizado em OSM)"
"Plaza Resort Bonaire","","","Kralendijk","Bonaire","12.1371672","-68.2747192","localização aproximada (hotel próximo na cidade correta)"
"Ariau Towers","","","Manaus","Brazil","-3.0615821","-59.9239552","Ariau Amazon Towers; localização aproximada (sem etiqueta 'hotel' no OSM)"
"Belmond Hotel das Cataratas","","","Foz do Iguacu","Brazil","-25.6840352","-54.4387373",""
"Centro Empresarial Nacoes Unidas","","","Sao Paulo","Brazil","-23.6104213","-46.6969964","CENU; localização aproximada (sem etiqueta 'hotel' no OSM)"
"Dom Pedro Hotels & Golf Collection","","","Vilamoura","Portugal","37.0759505","-8.1165401","listado originalmente sob Brasil; coordenada do centro da cidade (hotel não localizado em OSM)"
"Grande Hotel de Goiania","","","Goiania","Brazil","-16.6756771","-49.2575747",""
"Kubitschek Plaza","","","Brasilia","Brazil","-15.7902545","-47.8866462","localização aproximada (hotel próximo na cidade correta)"
"Palacio Quitandinha","","","Petropolis","Brazil","-29.3759836","-51.1123342","coordenada do centro da cidade (hotel não localizado em OSM)"
"Plaza Sao Rafael Hotel","","","Porto Alegre","Brazil","-30.0276636","-51.2214599",""
"Hotel Unique","","","Sao Paulo","Brazil","-23.5816628","-46.6668619",""
"Othon Palace Hotel","","","Sao Paulo","Brazil","-23.5594793","-46.6347353","localização aproximada (hotel próximo na cidade correta)"
"Astoria Palace Hotel","","","Rio de Janeiro","Brazil","-22.968306","-43.1801884","Copacabana"
"Copacabana Palace","","","Rio de Janeiro","Brazil","-22.9670132","-43.1791849",""
"Copacabana Hotel Residencia","","","Rio de Janeiro","Brazil","-22.9768298","-43.1919973",""
"Hotel Gloria","","","Rio de Janeiro","Brazil","-22.9236857","-43.1734131","localização aproximada (hotel próximo na cidade correta)"
"Hilton Rio de Janeiro Copacabana","","","Rio de Janeiro","Brazil","-22.9645008","-43.1732925",""
"Hotel Nacional Rio","","","Rio de Janeiro","Brazil","-22.9978075","-43.2570047","localização aproximada (sem etiqueta 'hotel' no OSM)"
"Hotel Atlantico Praia","","","Rio de Janeiro","Brazil","-22.9662865","-43.1768303",""
"LSH Hotel","","","Rio de Janeiro","Brazil","-22.9670132","-43.1791849","localização aproximada (hotel próximo na cidade correta)"
"Marina All Suites Hotel","","","Rio de Janeiro","Brazil","-22.9867663","-43.2227456",""
"Rio Othon Palace","","","Rio de Janeiro","Brazil","-22.9774125","-43.189208","Copacabana"
"Sheraton Grand Rio Hotel & Resort","","","Rio de Janeiro","Brazil","-22.9921969","-43.2332174","localização aproximada (hotel próximo na cidade correta)"
"Bitter End Yacht Club","","","Virgin Gorda","British Virgin Islands","18.5001377","-64.3578982","North Sound; localização aproximada (sem etiqueta 'hotel' no OSM)"
"The Empire Brunei","","","Jerudong","Brunei","4.9683059","114.8538257",""
"Hotel Bulgaria","","","Burgas","Bulgaria","42.6782454","27.7085473",""
"Hotel Mirage","","","Burgas","Bulgaria","42.4921682","27.4648662","localização aproximada (hotel próximo na cidade correta)"
"Hotel Admiral","","","Golden Sands","Bulgaria","43.2864773","28.0443609",""
"Melia Grand Hermitage","","","Golden Sands","Bulgaria","43.2900407","28.0432635",""
"Maritsa Hotel","","","Plovdiv","Bulgaria","42.1982434","24.6942152","localização aproximada (hotel próximo na cidade correta)"
"Novotel Plovdiv","","","Plovdiv","Bulgaria","42.1559256","24.7456124","localização aproximada (hotel próximo na cidade correta)"
"Grand Hotel Sofia","","","Sofia","Bulgaria","42.6823855","23.3145719",""
"Hotel Marinela Sofia","","","Sofia","Bulgaria","42.6723235","23.3187293","localização aproximada (hotel próximo na cidade correta)"
"Hotel Rodina","","","Sofia","Bulgaria","42.6958454","23.3165692","localização aproximada (hotel próximo na cidade correta)"
"Kempinski Hotel Zografski","","","Sofia","Bulgaria","42.6977028","23.3217359","coordenada do centro da cidade (hotel não localizado em OSM)"
"Princess Hotel Sofia","","","Sofia","Bulgaria","42.7085872","23.322074",""
"Interhotel Cherno More","","","Varna","Bulgaria","43.2048872","27.919849","localização aproximada (hotel próximo na cidade correta)"
"Andaman Club","","","Thahtay Kyun Island","Myanmar","13.917786","97.9138003","coordenada do centro da cidade (hotel não localizado em OSM)"
"Governor's Residence","","","Yangon","Myanmar","16.7881512","96.1389269",""
"Grand Park Hotel","","","Mandalay","Myanmar","21.9628546","96.0757617","localização aproximada (hotel próximo na cidade correta)"
"Kandawgyi Palace Hotel","","","Yangon","Myanmar","16.794548","96.1619433",""
"Strand Hotel","","","Yangon","Myanmar","16.7695888","96.1625867",""
"Hotel Source du Nil","","","Bujumbura","Burundi","-3.378957","29.3598185",""
"Ammende Villa","","","Parnu","Estonia","58.3804593","24.4920298",""
"Aqva Hotel & Spa","","","Rakvere","Estonia","59.3480052","26.3569143",""
"Barclay Hotel","","","Tartu","Estonia","58.3787818","26.7226589",""
"Ekesparre House","","","Kuressaare","Estonia","58.248155","22.4811151",""
"Meriton Grand Hotel Tallinn","","","Tallinn","Estonia","59.4352781","24.7323581",""
"Parnu Mud Baths","","","Parnu","Estonia","58.3757286","24.4964685","localização aproximada (sem etiqueta 'hotel' no OSM)"
"Radisson Blu Hotel Olumpia","","","Tallinn","Estonia","59.4302721","24.7575808",""
"Rannahotell","","","Parnu","Estonia","58.3735166","24.5027175",""
"Schloessle Hotel","","","Tallinn","Estonia","59.4386525","24.7475981","localização aproximada (hotel próximo na cidade correta)"
"Sokos Hotel Viru","","","Tallinn","Estonia","59.4365992","24.7549171",""
"Swissoetel Tallinn","","","Tallinn","Estonia","59.4328311","24.7613745","localização aproximada (hotel próximo na cidade correta)"
"Tervise Paradiis","","","Parnu","Estonia","58.3732385","24.5114269",""
"Malvina House Hotel","","","Port Stanley","Falkland Islands","-51.6917191","-57.8661117",""
"Hotel Foroyar","","","Torshavn","Faroe Islands","62.0124575","-6.7998646","localização aproximada (hotel próximo na cidade correta)"
"Grand Pacific Hotel","","","Suva","Fiji","-18.1471566","178.4227537",""
"Shangri-La's Fijian Resort","","","Yanuca","Fiji","-18.1407705","177.4207353","verificar localização (nome coincide, fora da cidade indicada)"
"Hotel Ilves","","","Tampere","Finland","61.4962617","23.7665711",""
"Hotel Kamp","","","Helsinki","Finland","60.1679164","24.9469903",""
"Hotel Pallas","","","Muonio","Finland","68.0467517","24.0622847",""
"Hotel Tammer","","","Tampere","Finland","61.5009544","23.7649903",""
"Hotel Torni","","","Helsinki","Finland","60.1677929","24.9386424",""
"Omenahotelli","","","Helsinki","Finland","60.1657259","24.9362782","chain"
"Palace Hotel","","","Helsinki","Finland","60.1651688","24.9522492","localização aproximada (hotel próximo na cidade correta)"
"Hotel Torni Tampere","","","Tampere","Finland","61.4969309","23.7758853",""
"Waldorf Astoria Helsinki","","","Helsinki","Finland","60.1737419","24.9566453",""
"Anjodi","","","Le Somail","France","43.4887606","2.7572599","barge, Canal du Midi; localização aproximada (hotel próximo na cidade correta)"
"Beat Hotel","","","Paris","France","48.8534951","2.3483915","coordenada do centro da cidade (hotel não localizado em OSM)"
"Carlton Cannes","","","Cannes","France","43.550103","7.0270598",""
"Castille Paris","","","Paris","France","48.8682706","2.3268022",""
"Chateau de l'Ile","","","Ostwald","France","48.5447009","7.7143052","near Strasbourg; localização aproximada (hotel próximo na cidade correta)"
"Enchante","","","Briare","France","47.6410716","2.7413128","barge, Canal de Briare; coordenada do centro da cidade (hotel não localizado em OSM)"
"Grand-Hotel du Cap-Ferrat","","","Saint-Jean-Cap-Ferrat","France","43.6769597","7.3315163","localização aproximada (hotel próximo na cidade correta)"
"Grand Hotel Moderne","","","Lourdes","France","43.0962863","-0.0543099",""
"Hotel Au Manoir Saint Germain des Pres","","","Paris","France","48.8537719","2.3323137",""
"Hotel Belvedere du Rayon Vert","","","Cerbere","France","42.4440707","3.1676109","localização aproximada (sem etiqueta 'hotel' no OSM)"
"Hotel Concorde La Fayette","","","Paris","France","48.8676219","2.3213665","now Hyatt Regency; localização aproximada (hotel próximo na cidade correta)"
"Hotel Costes","","","Paris","France","48.8662827","2.3280089",""
"Hotel de Crillon","","","Paris","France","48.8676219","2.3213665",""
"Hotel des Trois Colleges","","","Paris","France","48.8489133","2.3684099",""
"Hotel du Cap","","","Antibes","France","43.5484489","7.1215745","Eden-Roc; localização aproximada (hotel próximo na cidade correta)"
"Hotel du Palais","","","Biarritz","France","43.4864348","-1.5563276",""
"Hotel Fouquet's Barriere","","","Paris","France","48.8710995","2.3012603",""
"Hotel George V","","","Paris","France","48.868784","2.3006774","Four Seasons"
"Hotel La Louisiane","","","Paris","France","48.8535946","2.3368336",""
"Hotel Le Bristol Paris","","","Paris","France","48.8534951","2.3483915","coordenada do centro da cidade (hotel não localizado em OSM)"
"Hotel Lutetia","","","Paris","France","48.8510984","2.3274844","localização aproximada (hotel próximo na cidade correta)"
"Hotel Martinez","","","Cannes","France","43.5482538","7.0309481",""
"Hotel Meurice","","","Paris","France","48.8652754","2.3282212",""
"Hotel Meurice de Calais","","","Calais","France","50.957337","1.8517503",""
"Hotel Negresco","","","Nice","France","43.6947097","7.2577521",""
"Hotel Raphael","","","Paris","France","48.8713772","2.2935928",""
"Hotel Regina","","","Paris","France","48.8637204","2.3325149",""
"Hotel Ritz Paris","","","Paris","France","48.8679688","2.3288445",""
"Hotel de Soissons","","","Paris","France","48.8676219","2.3213665","historical; localização aproximada (hotel próximo na cidade correta)"
"La Clef Champs-Elysees","","","Paris","France","48.8668308","2.3028826","localização aproximada (hotel próximo na cidade correta)"
"La Voile d'Or","","","Saint-Jean-Cap-Ferrat","France","43.6881114","7.3369635",""
"Le Chabichou","","","Courchevel","France","45.4133863","6.6577786","Savoie; localização aproximada (hotel próximo na cidade correta)"
"L'Hotel","","","Paris","France","48.8563424","2.3352399","localização aproximada (hotel próximo na cidade correta)"
"Maison Pic","","","Valence","France","44.9176285","4.8860853","Drome"
"Majestic Barriere","","","Cannes","France","43.5511063","7.0204108",""
"Majestic Hotel-Spa","","","Paris","France","48.8704039","2.2938936",""
"Noga Hilton","","","Cannes","France","43.5485116","7.0117679","now JW Marriott; localização aproximada (hotel próximo na cidade correta)"
"Normandy Barriere","","","Deauville","France","49.3600323","0.0711053",""
"Palais de la Mediterranee","","","Nice","France","43.6953785","7.2629726",""
"Pershing Hall","","","Paris","France","48.8690928","2.3022321",""
"Plaza Athenee","","","Paris","France","48.8663815","2.3038926","localização aproximada (hotel próximo na cidade correta)"
"The Westin Paris - Vendome","","","Paris","France","48.8657785","2.3274056",""
"Christopher Hotel","","","Port-au-Prince","Haiti","18.5413542","-72.3339579","localização aproximada (hotel próximo na cidade correta)"
"Hotel Montana","","","Port-au-Prince","Haiti","18.5273743","-72.2976002",""
"Hotel Oloffson","","","Port-au-Prince","Haiti","18.5413542","-72.3339579","localização aproximada (hotel próximo na cidade correta)"
"Baden-Powell International House","","","Hong Kong","Hong Kong","22.2818333","114.1582831","coordenada do centro da cidade (hotel não localizado em OSM)"
"China Hong Kong City","","","Hong Kong","Hong Kong","22.3014182","114.1890046","Tsim Sha Tsui"
"Disney's Hollywood Hotel","","","Hong Kong","Hong Kong","22.3089548","114.0372055","Lantau"
"Dorsett Wanchai","","","Hong Kong","Hong Kong","22.2745264","114.1789425","Wan Chai"
"Eaton Hotel Hong Kong","","","Hong Kong","Hong Kong","22.3080618","114.1718264","Jordan/Kowloon"
"The Excelsior","","","Hong Kong","Hong Kong","22.295066","114.1717888","Causeway Bay; closed 2019; localização aproximada (hotel próximo na cidade correta)"
"Four Seasons Hotel Hong Kong","","","Hong Kong","Hong Kong","22.2866255","114.156663","Central"
"Grand Hyatt Hong Kong","","","Hong Kong","Hong Kong","22.2812682","114.172048","Wan Chai"
"Hong Kong Disneyland Hotel","","","Hong Kong","Hong Kong","22.3078404","114.043508","Lantau"
"Hong Kong Gold Coast Hotel","","","Hong Kong","Hong Kong","22.371854","113.9894445","Tuen Mun"
"Hong Kong Hilton","","","Hong Kong","Hong Kong","22.2853788","114.1509072","defunct"
"Hong Kong SkyCity Hotel","","","Hong Kong","Hong Kong","22.3189574","113.9434649","Chek Lap Kok"
"Hotel Indigo Hong Kong Island","","","Hong Kong","Hong Kong","22.2748998","114.17325","Wan Chai"
"Hotel Panorama","","","Hong Kong","Hong Kong","22.2976479","114.1748768","Tsim Sha Tsui; localização aproximada (hotel próximo na cidade correta)"
"Hyatt Regency Hong Kong","","","Hong Kong","Hong Kong","22.4112899","114.2112353","Tsim Sha Tsui"
"Hyatt Regency Sha Tin","","","Hong Kong","Hong Kong","22.4112899","114.2112353","Sha Tin"
"InterContinental Hong Kong","","","Hong Kong","Hong Kong","22.2990575","114.1793485","Kowloon; now Regent"
"Island Shangri-La","","","Hong Kong","Hong Kong","22.2772027","114.164467","Admiralty"
"JW Marriott Hong Kong","","","Hong Kong","Hong Kong","22.2775008","114.1663368","Admiralty"
"Kowloon Shangri-La","","","Hong Kong","Hong Kong","22.2970544","114.1770022","Hung Hom"
"The Landmark Mandarin Oriental","","","Hong Kong","Hong Kong","22.2808167","114.157722","Central"
"Langham Place Hotel","","","Hong Kong","Hong Kong","22.2786239","114.1867131","Mong Kok"
"Mandarin Oriental Hong Kong","","","Hong Kong","Hong Kong","22.2818858","114.1593965","Central"
"Le Meridien Cyberport","","","Hong Kong","Hong Kong","22.261902","114.1294948","Cyberport"
"Novotel Century Hong Kong","","","Hong Kong","Hong Kong","22.278804","114.1764288","Wan Chai"
"Novotel Citygate Hong Kong","","","Hong Kong","Hong Kong","22.2911908","113.9422615","Tung Chung"
"Novotel Nathan Road","","","Hong Kong","Hong Kong","22.2911908","113.9422615","Jordan; localização aproximada (hotel próximo na cidade correta)"
"Panda Hotel","","","Hong Kong","Hong Kong","22.368996","114.1206949","Tsuen Wan"
"The Peak Hotel","","","Hong Kong","Hong Kong","22.2957921","114.1717254","defunct; localização aproximada (hotel próximo na cidade correta)"
"The Peninsula Hong Kong","","","Hong Kong","Hong Kong","22.295066","114.1717888","Tsim Sha Tsui"
"Ritz-Carlton Hong Kong","","","Hong Kong","Hong Kong","22.3033024","114.1601775","Kowloon/ICC"
"Royal Park Hotel","","","Hong Kong","Hong Kong","22.3797191","114.1885338","Sha Tin; localização aproximada (hotel próximo na cidade correta)"
"Royal Plaza Hotel","","","Hong Kong","Hong Kong","22.3241635","114.1731584","Mong Kok; localização aproximada (hotel próximo na cidade correta)"
"W Hong Kong","","","Hong Kong","Hong Kong","22.3046362","114.1605933","West Kowloon"
"Boscolo Budapest","","","Budapest","Hungary","47.5026637","19.0338075",""
"Continental Hotel Zara","","","Budapest","Hungary","47.4971158","19.0669856",""
"Corinthia Hotel Budapest","","","Budapest","Hungary","47.5026716","19.0667929",""
"Danubius Hotel Astoria","","","Budapest","Hungary","47.4937668","19.0595554",""
"Four Seasons Hotel Gresham Palace","","","Budapest","Hungary","47.4998621","19.0480552",""
"Hilton Budapest","","","Budapest","Hungary","47.5026637","19.0338075",""
"Hotel Gellert","","","Budapest","Hungary","47.4878569","19.0297759","localização aproximada (hotel próximo na cidade correta)"
"InterContinental Budapest","","","Budapest","Hungary","47.4972447","19.047902","localização aproximada (hotel próximo na cidade correta)"
