OBJECTID,NrRNET,Denominacao,EntProprietaria,EntExploradora,TipologiaET,Categoria,NrUnidAloj,NrCamasFixas,NrQuartos,NrSuites,NrApart,NrMoradias,NrCampistas,IntegraCT,DesignacaoCT,CampoGolfe,SalasReunioes,CapacSalasReunioes,SPA,OutrosEquip,DataTituloValAbert,ClassificacaoTdP,ImovelClassificado,Website,Email,Endereco,CodigoPostal,LocalidadeCP,LatLong,FiabilidadeGeo,DTMNFR,Freguesia,Concelho,Distrito,NUTSIII,NUTSII,ERT,SeloCleanSafe
20,10301,Cellorico,SEMANA TÁTICA LDA,SEMANA TÁTICA LDA,CasaDeCampo,0,3,6,0,3,0,0,0,NaoIntegra,,Não,Não,0,Não,,1660262400000,NA,Não,www.cellorico.com/,semana.tatica@gmail.com,"Rua do Poço, nº 2",6360 342,CELORICO DA BEIRA,"40,6387227 ; -7,39053598",Fiavel,090324,União das freguesias de Celorico (São Pedro e Santa Maria) e Vila Boa do Mondego,Celorico da Beira,Guarda,Beiras e Serra da Estrela,Centro,Turismo do Centro de Portugal,Não
24,10505,Portalegre Palace,POUPATEMPO  LDA,POUPATEMPO  LDA,TurismoDeHabitacao,0,11,22,7,4,0,0,0,NaoIntegra,,Não,Não,0,Sim,Piscina,1663200000000,Nao,Não,www.portalegrepalace.pt,dg@portalegrepalace.pt,Rua Alexandre Herculano n.2,7300-121,PORTALEGRE,"39,29735837 ; -7,43074656",Fiavel,121411,União das freguesias da Sé e São Lourenço,Portalegre,Portalegre,Alto Alentejo,Alentejo,Turismo do Alentejo,Não
26,10562,D'Origem,D ORIGEM SOCIEDADE AGRICOLA E COMERCIAL LDA,D ORIGEM SOCIEDADE AGRICOLA E COMERCIAL LDA,Agroturismo,0,2,4,0,2,0,0,0,NaoIntegra,,Não,Não,0,Não,,1665446400000,Nao,Não,www.dorigem.pt,dorigem@dorigem.pt,Rua da Praça 4,5085-010,CASAL DE LOIVOS,"41,20043799 ; -7,53385172",Fiavel,170123,"União das freguesias de Vale de Mendiz, Casal de Loivos e Vilarinho de Cotas",Alijó,Vila Real,Douro,Norte,Turismo do Porto e Norte de Portugal,Não
28,10594,Herdade do Monte Gordo,"Ouricasulo\,Lda","Ouricasulo\,Lda",CasaDeCampo,0,8,16,8,0,0,0,0,NaoIntegra,,Não,Não,0,Não,Piscina exterior,1572220800000,Nao,Não,,ouricasulo@gmail.com,Herdade do Monte Gordo,7700-301,ALDEIA DOS FERNANDES,"37,57153359 ; -8,1950997",Fiavel,020208,Aldeia dos Fernandes,Almodôvar,Beja,Baixo Alentejo,Alentejo,Turismo do Alentejo,Não
29,10631,Villã - Casas de Campo,BALT & AAR LDA,BALT & AAR LDA,CasaDeCampo,0,17,34,17,0,0,0,0,NaoIntegra,,Não,Não,0,Sim,Piscina interior e exterior,1606089600000,Nao,Não,www.villacasasdecampo.com,paulorebelo@villacasasdecampo.com,Rua da Quintã nº 171,4585-052,BALTAR,"41,18939341 ; -8,37800159",Fiavel,131003,Baltar,Paredes,Porto,Área Metropolitana do Porto,Norte,Turismo do Porto e Norte de Portugal,Não
31,10634,Casas da Aguça - Casa do Irô,MARIA CLARA DA LOMBA MELO DA SILVA,MARIA CLARA DA LOMBA MELO DA SILVA,Agroturismo,0,5,10,5,0,0,0,0,NaoIntegra,,Não,Não,0,Não,Piscina,1669939200000,Nao,Não,,lombamelo@hotmail.com,Lugar do Assento,4840-070,CIBÕES,"41,74340817 ; -8,28307043",Fiavel,031020,União das freguesias de Cibões e Brufe,Terras de Bouro,Braga,Cávado,Norte,Turismo do Porto e Norte de Portugal,Não
32,10592,Turim Oporto Hotel,Palpite Prestigio S.A.,IMOBIMACUS SOC ADMINISTRADORA DE IMOVEIS SA,Hotel,4,121,157,100,21,0,0,0,NaoIntegra,,Não,Sim,40,Não,,1668729600000,Nao,Não,https://turim-hotels.com/,ricardomartins@turimhoteis.com,Praça da Trindade 120,4000-539,PORTO,"41,15059779 ; -8,61121032",Fiavel,131217,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,Área Metropolitana do Porto,Norte,Turismo do Porto e Norte de Portugal,Não
33,10654,Casa Amorim Girão,BIOAMORIM UNIPESSOAL LDA,BIOAMORIM UNIPESSOAL LDA,Agroturismo,0,8,16,0,8,0,0,0,NaoIntegra,,Não,Sim,30,Não,Piscina exterior,1672012800000,Nao,Não,,mjose.amorim@gmail.com,Quinta do Reguengo,3670-095,FATAÚNÇOS,"40,72515638 ; -8,08052553",Fiavel,182414,União das freguesias de Fataunços e Figueiredo das Donas,Vouzela,Viseu,Viseu Dão Lafões,Centro,Turismo do Centro de Portugal,Não
34,10663,Raízes,FATIMA DA CONCEIÇÃO MARTINHO BANDEIRAS,FATIMA DA CONCEIÇÃO MARTINHO BANDEIRAS,CasaDeCampo,0,5,10,3,2,0,0,0,NaoIntegra,,Não,Não,0,Não,Piscina exterior,1672272000000,Nao,Não,,raizes.turismorural@gmail.com,Rua João Bandeiras nº14 Catraia Cimeira,6150-116,MONTES DA SENHORA,"39,79435751 ; -7,79032799",Fiavel,050802,Montes da Senhora,Proença-a-Nova,Castelo Branco,Beira Baixa,Centro,Turismo do Centro de Portugal,Não
35,10651,Parque Municipal de Campismo e Caravanismo de Braga - Camping Braga,MUNICIPIO DE BRAGA,MUNICIPIO DE BRAGA,ParqueCampismo/Caravanismo,Sem atribuição de ,0,0,0,0,0,0,300,NaoIntegra,,Não,Não,0,Não,Piscina exterior,1670976000000,Nao,Não,,parque.campismo@cm-braga.pt,Avenida Dr.º Viriato Amaral Nunes - S. José de S. Lázaro - Braga,4715-053,BRAGA,"41,53883446 ; -8,42219842",Fiavel,030365,União das freguesias de Braga (São José de São Lázaro e São João do Souto),Braga,Braga,Cávado,Norte,Turismo do Porto e Norte de Portugal,Não
36,10581,Monte da Várzea da Rainha,Antonio da Gama Teixeira Homem de Barros,ANTONIO HOMEM BARROS UNIPESSOAL LDA,Agroturismo,0,2,6,2,0,0,0,0,NaoIntegra,,Não,Não,0,Não,-,1667865600000,NA,Não,,montevr@gmail.com,Monte da Várzea da Rainha,2510-193,ÓBIDOS,"39,37301233 ; -9,17172935",Fiavel,101210,"Santa Maria, São Pedro e Sobral da Lagoa",Óbidos,Leiria,Oeste,Oeste e Vale do Tejo,Turismo do Centro de Portugal,Não
37,10713,Colmeal Casa da Arminda,SOCIEDADE DE DESENVOLVIMENTO DA QUINTA DO COLMEAL,SOCIEDADE DE DESENVOLVIMENTO DA QUINTA DO COLMEAL,CasaDeCampo,0,4,8,4,0,0,0,0,NaoIntegra,,Não,Não,0,Não,,1634256000000, ,Não,www.colmealhotel.com,info@colmealhotel.com,Quinta do Colmeal,6440-061,COLMEAL FCR,"40,85525834 ; -7,01469187",Fiavel,090422,União das freguesias do Colmeal e Vilar Torpim,Figueira de Castelo Rodrigo,Guarda,Beiras e Serra da Estrela,Centro,Turismo do Centro de Portugal,Não
38,10737,Shamwari Hilltop Retreat,MONTE VASCÃO RETREAT LDA,MONTE VASCÃO RETREAT LDA,ParqueCampismo/Caravanismo,Sem atribuição de ,0,0,0,0,0,0,10,,,Não,Não,0,Não,Piscina exterior,1627862400000,Nao,Não,www.shamwarihilltopretreat.com,shamwarihilltopretreat@gmail.com,"Estrada Municipal M 1054, Km 2, Monte Vascao",8970-028,ALCOUTIM,"37,51136794 ; -7,52499334",Fiavel,080206,União das freguesias de Alcoutim e Pereiro,Alcoutim,Faro,Algarve,Algarve,Região de Turismo do Algarve,Sim
39,10675,Ar Country House,ANA EMILIA DA COSTA ALMEIDA OLIVEIRA,SUSSURRO D'VERÃO - LDA,CasaDeCampo,0,5,10,1,4,0,0,0,,,Não,Sim,50,Sim,,1427241600000,Nao,Não,,anaemiliaoliveira@outlook.pt,Rua do Seixo 4,2550-132,CADAVAL,"39,23435022 ; -9,10140947",Fiavel,110411,União das freguesias do Cadaval e Pêro Moniz,Cadaval,Lisboa,Oeste,Oeste e Vale do Tejo,Turismo do Centro de Portugal,Não
40,10825,Casa do Outeiro,JOAQUIM ANTONIO VIANA VENTURA,JOAQUIM ANTONIO VIANA VENTURA,CasaDeCampo,0,4,8,0,4,0,0,0,NaoIntegra,,Não,Não,0,Não,Piscina exterior,1761350400000,Nao,Não,https://www.aquintadoribeiro.pt/,quintadoribeiro.turismo@gmail.com,"Rua do Outeiro, 171",4970-390,SABADIM,"41,90372799 ; -8,45780448",Fiavel,160133,Sabadim,Arcos de Valdevez,Viana do Castelo,Alto Minho,Norte,Turismo do Porto e Norte de Portugal,Não
41,10910,Quinta da Azenha,JOÃO SA DE FARIA,JOÃO SA DE FARIA,Agroturismo,0,3,6,0,3,0,0,0,NaoIntegra,,Não,Não,0,Não,,1637020800000,Nao,Não,,joaosafaria1955@gmail.com,Rua do Chouso n.º 9,4740-015,ANTAS EPS,"41,60807052 ; -8,75366448",Fiavel,030601,Antas,Esposende,Braga,Cávado,Norte,Turismo do Porto e Norte de Portugal,Não
42,10916,À Espera,"DIJUPATUR\, LDA","DIJUPATUR\, LDA",CasaDeCampo,0,9,18,0,9,0,0,0,NaoIntegra,,Não,Não,0,Não,Piscina exterior,1681430400000,Nao,Não,https://aesperamelides.com,geral@aesperamelides.com,"Fontainhas de Cima, Vale da Horta",7570-503,MELIDES,"38,18632502 ; -8,69107509",Fiavel,150503,Melides,Grândola,Setúbal,Alentejo Litoral,Alentejo,Turismo do Alentejo,Não
43,10922,Casa da Pedra,Carlos alberto Gomes Pinto,"QUINTA DO COUÇO-NATURE VILLAGE\, LDA",CasaDeCampo,0,5,10,5,0,0,0,0,NaoIntegra,,Não,Não,0,Não,Piscina exterior,1681948800000,Nao,Não,quintadocouco.pt,quintadocouco2020@gmail.com,"Lugar de Friães, Moldes, Arouca",4540-462,MOLDES,"40,90896298 ; -8,22708585",Fiavel,010414,Moldes,Arouca,Aveiro,Área Metropolitana do Porto,Norte,Turismo do Porto e Norte de Portugal,Não
45,10933,Ermo Lofts,Fernando Jorge Oliveira,Casas do Ermo - Turismo e Aromaticas,CasaDeCampo,0,4,8,4,0,0,0,0,NaoIntegra,,Não,Não,0,Sim,Piscina interior,1679443200000,NA,Não,www.casasdoermo.com,casasdoermo@gmail.com,Rua do Outeiro / Rua do Ermo,4820-063,ESTORÃOS FAF,"41,47675179 ; -8,14917986",Fiavel,030708,Estorãos,Fafe,Braga,Ave,Norte,Turismo do Porto e Norte de Portugal,Não
46,10935,Farm Holidays Silver Coast,FARM HOLIDAYS COSTA DE PRATA LDA,FARM HOLIDAYS COSTA DE PRATA LDA,Agroturismo,0,0,17,7,0,0,0,0,NaoIntegra,,Não,Não,0,Não,Piscina exterior,1466553600000,Nao,Não, farmholidayssilvercoast.com,lars.larsson64@hotmail.com,"Travessa das Carrascas, nº 9",2500-434,COTO,"39,43782269 ; -9,11935649",Fiavel,100617,"União das freguesias de Caldas da Rainha - Nossa Senhora do Pópulo, Coto e São Gregório",Caldas da Rainha,Leiria,Oeste,Oeste e Vale do Tejo,Turismo do Centro de Portugal,Não
47,10955,CASA DOS XÉ,Manuel António Cardoso Teixeira,MARGEM TURQUESA - LDA,CasaDeCampo,0,6,12,0,6,0,0,0,NaoIntegra,,Não,Não,0,Não,Piscina exterior,1650412800000,Nao,Não,,margem.turquesa@gmail.com,Lugar da Malhadoura,4550-673,REAL CPV,"41,0156613 ; -8,26586522",Fiavel,010606,Real,Castelo de Paiva,Aveiro,Tâmega e Sousa,Norte,Turismo do Porto e Norte de Portugal,Não
48,10954,Serra,POETA & PINTO LDA,POETA & PINTO LDA,CasaDeCampo,0,5,14,3,2,0,0,0,NaoIntegra,,Não,Não,0,Não,Piscina exterior,1690243200000,Nao,Não,,geral@serraestrela.pt,"Rua do Cabecinho, n.º 23",6215-121,CORTES DO MEIO,"40,25558492 ; -7,58014241",Fiavel,050308,Cortes do Meio,Covilhã,Castelo Branco,Beiras e Serra da Estrela,Centro,Turismo do Centro de Portugal,Não
51,11018,Casa da Igreja,CISTERNA - UNIPESSOAL LDA,CISTERNA - UNIPESSOAL LDA,CasaDeCampo,0,3,6,3,0,0,0,0,NaoIntegra,,Não,Não,0,Não,,1657497600000,Nao,Não,casadacisterna.com,info@casadacisterna.com,Largo da Igreja nº 4,6440 031,CASTELO RODRIGO,"40,87671598 ; -6,96446005",Fiavel,090403,Castelo Rodrigo,Figueira de Castelo Rodrigo,Guarda,Beiras e Serra da Estrela,Centro,Turismo do Centro de Portugal,Não
52,11014,Quinta de Santoínho,MARIA ROSA FERNANDES DOS SANTOS MOTA FIGUEIREDO,MARIA ROSA FERNANDES DOS SANTOS MOTA FIGUEIREDO,CasaDeCampo,0,6,12,0,6,0,0,0,NaoIntegra,,Não,Não,0,Não,Piscina exterior,1296777600000, ,Não,,mrsmf@sapo.pt,Rua de Santo Ivo n.º 39,4720-491,GOÃES AMR,"41,65126999 ; -8,31313",Fiavel,030112,Goães,Amares,Braga,Cávado,Norte,Turismo do Porto e Norte de Portugal,Não
53,11035,Villa Lamegal,Centro Social Cultural e Recreativo do Lamegal La,Centro Social Cultural e Recreativo do Lamegal La,Agroturismo,0,5,10,5,0,0,0,0,NaoIntegra,,Não,Não,0,Não,,1684972800000, ,Não,,cscr.lamegal@sapo.pt,Lamegal,6400-232,LAMEGAL,"40,66482135 ; -7,07959825",PoucoFiavel,091012,Lamegal,Pinhel,Guarda,Beiras e Serra da Estrela,Centro,Turismo do Centro de Portugal,Não
54,11063,Quinta do Castelo,MARIA DA GUIA PEREIRA DE MATOS,MARIA DA GUIA PEREIRA DE MATOS,CasaDeCampo,0,2,4,0,2,0,0,0,NaoIntegra,,Não,Não,0,Não,,1633996800000,Nao,Não,https://www.facebook.com/PlanaltoCesaredas/,mariamatosprivado@gmail.com,"Rua das Pedras Altas, nº. 38",2530-093,LOURINHÃ,"39,30251091 ; -9,23191656",Fiavel,110805,Reguengo Grande,Lourinhã,Lisboa,Oeste,Oeste e Vale do Tejo,Turismo do Centro de Portugal,Não
56,11107,ALDEIA DA QUINTA DO PAÇO,"AGRODANIBELA, LDA",ANTONIO GOMES DE OLIVEIRA,CasaDeCampo,0,42,49,24,18,0,0,0,NaoIntegra,,Não,Não,0,Não,,1687737600000,Nao,Não,,agrodanibela@gmail.com,"Rua do Paço, 343 A",4795-522,SÃO SALVADOR DO CAMPO,"41,35775429 ; -8,35478508",Fiavel,131434,Vila Nova do Campo,Santo Tirso,Porto,Área Metropolitana do Porto,Norte,Turismo do Porto e Norte de Portugal,Não
63,11338,Estrela Lake,Sandra Isabel da Silva Lopes,extremebliss lda,ParqueCampismo/Caravanismo,Sem atribuição de ,0,0,0,0,0,0,8,NaoIntegra,,Não,Não,0,Não,,1690416000000, ,Não,estrelalake.com,info.xtremefishing@gmail.com,Rua Tomé de Barros Queirós nº 103,3830-252,ÍLHAVO,"40,58978473 ; -8,64434482",Fiavel,011008,Ílhavo (São Salvador),Ílhavo,Aveiro,Região de Aveiro,Centro,Turismo do Centro de Portugal,Não
64,11354,Palacete do Guerreiro,REISOR INVESTIMENTOS LDA,REISOR INVESTIMENTOS LDA,CasaDeCampo,0,10,20,7,3,0,0,0,NaoIntegra,,Não,Não,0,Sim,Piscina exterior,963532800000, ,Não,www.palacetedoguerreiro.com,manager@palacetedoguerreiro.com,"Quinta dos barbas, São Gião, Oliveira do Hospital",3400-645,SÃO GIÃO,"40,33692267 ; -7,80956932",Fiavel,061115,São Gião,Oliveira do Hospital,Coimbra,Região de Coimbra,Centro,Turismo do Centro de Portugal,Não
66,11403,Casa Santa Marinha,JOSE MARTINS DA ROCHA ALMEIDA,JOSE MARTINS DA ROCHA ALMEIDA,CasaDeCampo,0,2,2,0,2,0,0,0,NaoIntegra,,Não,Não,0,Não,,1696896000000, ,Não,https://casasantamarinha.pt/,reservas@casasantamarinha.pt,77 Rua de Santa Marinha,4940-373,LINHARES PCR,"41,93443938 ; -8,61112763",Fiavel,160523,União das freguesias de Cossourado e Linhares,Paredes de Coura,Viana do Castelo,Alto Minho,Norte,Turismo do Porto e Norte de Portugal,Não
68,11428,Solar da Natureza e do bem Estar Sociedade de Turismos Habitação Lda,Anne Marie Lisiane Hamtiaux,SOLAR DA NATUREZA E DO BEM ESTAR SOCIEDADE DE TUR,CasaDeCampo,0,10,14,10,0,0,0,0,NaoIntegra,,Não,Não,0,Não,Piscina exterior e Campo de Ténis,990576000000, ,Não,,lysiane_hamtiaux@yahoo.fr,ESTRADA NACIONAL 203 CAMINHO DO MOSTEIRO N 809,4935-667,VILA FRANCA,"41,68832817 ; -8,74400315",Fiavel,160935,Vila Franca,Viana do Castelo,Viana do Castelo,Alto Minho,Norte,Turismo do Porto e Norte de Portugal,Não
69,11470,Quinta do Casal Bystol Casas 1 e 2,QUINTA DO CASAL BYSTOL - PRODU??ES AGRICOLAS TURI,QUINTA DO CASAL BYSTOL - PRODU??ES AGRICOLAS TURI,Agroturismo,0,6,12,6,0,0,0,0,NaoIntegra,,Não,Não,0,Não,Piscina exterior,1637020800000, ,Não,,quinta@casalbystol.pt,"Rua da Calçada, 1010",5085-010,CASAL DE LOIVOS,"41,19651165 ; -7,54078134",Fiavel,170109,Pinhão,Alijó,Vila Real,Douro,Norte,Turismo do Porto e Norte de Portugal,Não
70,11495,Cela - Quinta de Eventos,GEOATRIBUTO CONSULTADORIA E INFORMA??O PARA O PLA,GEOATRIBUTO CONSULTADORIA E INFORMA??O PARA O PLA,CasaDeCampo,0,6,12,6,0,0,0,0,NaoIntegra,,Não,Não,0,Não,Piscina exterior,945820800000,Nao,Não,,cela@geoatributo.com,Rua da Cela,4610-887,VIZELA (SÃO JORGE),"41,37904531 ; -8,25371844",Fiavel,130340,União das freguesias de Vila Fria e Vizela (São Jorge),Felgueiras,Porto,Tâmega e Sousa,Norte,Turismo do Porto e Norte de Portugal,Não
71,11502,CASA DO VALO,Manuel António Melo Alves,Maria Emília Fernandes de Macedo Pinto,Agroturismo,0,4,8,4,0,0,0,0,NaoIntegra,,Não,Não,0,Não,Piscina exterior,1699920000000,Nao,Não,,emiliafpinto@gmail.com,"Caminho do Valo, n.º 312",4925-301,AMONDE,"41,78431477 ; -8,75032826",Fiavel,160903,Amonde,Viana do Castelo,Viana do Castelo,Alto Minho,Norte,Turismo do Porto e Norte de Portugal,Não
74,11397,Cherry Sculpture,CHERRY DELIGHT HOUSE LDA,CHERRY DELIGHT HOUSE LDA,CasaDeCampo,0,22,44,20,2,0,0,0,NaoIntegra,,Não,Sim,10,Sim,Piscina interior e exterior,1698624000000, ,Não,https://www.cherrycovilha.pt/,pedro.soares@cherrycovilha.pt,"Rua Dr. José Carvalho, 71",6215-328,PAUL,"40,20298143 ; -7,63844917",Fiavel,050314,Paul,Covilhã,Castelo Branco,Beiras e Serra da Estrela,Centro,Turismo do Centro de Portugal,Não
78,11592,Casa da Fonte,ANDRE FILIPE AMADO BEATO,ANDRE FILIPE AMADO BEATO,CasaDeCampo,0,1,2,1,0,0,0,0,NaoIntegra,,Não,Não,0,Não,,1693440000000,Nao,Não,turismocasadafonte.pt,andrebeato1980@gmail.com,Rua Vale da Velha nº8,3200-123,LOUSÃ,"40,11223952 ; -8,23843405",Fiavel,060709,Lousã,Lousã,Coimbra,Região de Coimbra,Centro,Turismo do Centro de Portugal,Não
80,11600,Casa de São Luís,ARMANDO ALBERTO PEREIRA - CABEÇA DE CASAL DA HERA,ARMANDO ALBERTO PEREIRA - CABEÇA DE CASAL DA HERA,CasaDeCampo,0,0,20,2,8,0,0,0,NaoIntegra,,Não,Não,0,Não,,1706659200000, ,Não,,turismorural.csluis@gmail.com,"Rua Fonte da preguiça, n504",5160-031,CABEÇA BOA,"41,18668123 ; -7,12193614",Fiavel,040903,Cabeça Boa,Torre de Moncorvo,Bragança,Douro,Norte,Turismo do Porto e Norte de Portugal,Não
84,11669,Basto Vila,NÚCLEOREAL - LDA,NÚCLEOREAL - LDA,Hotel,1,19,34,0,17,2,0,0,NaoIntegra,,Não,Não,0,Não,-,1709078400000,Nao,Não,,bastovilahotel@outlook.com,Avenida Cardeal D. António Ribeiro 117,4860-149,CABECEIRAS DE BASTO,"41,51175859 ; -7,9873348",Fiavel,030424,Refojos de Basto,Cabeceiras de Basto,Braga,Ave,Norte,Turismo do Porto e Norte de Portugal,Não
86,11684,Vale Palheiro,Spacecon LDA,NOMAD SERENITY - UNIPESSOAL LDA,Agroturismo,0,11,22,0,11,0,0,0,NaoIntegra,,Não,Não,0,Não,Piscina exterior,1705622400000,NA,Não,,madalena.rutkowski@valepalheiro.com,Rua Vale Palheiro,8670-016,ALJEZUR,"37,31857884 ; -8,81103265",Fiavel,080301,Aljezur,Aljezur,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
