country_code;country_name;ge_hotels;db_hotels;db_with_coords;db_rejected;db_wrong_country;db_geo_found;difference;ratio;coverage_pct;flags
PE;"Internacional";377;36;6;0;0;0;-341;0.0955;9.55;"UNDER"
AD;"Andorra";347;10;10;0;0;0;-337;0.0288;2.88;"UNDER"
JM;"Jamaica";344;16;16;0;0;0;-328;0.0465;4.65;"UNDER"
AL;"Internacional";307;68;0;0;0;0;-239;0.2215;22.15;""
MT;"Internacional";294;60;0;0;0;0;-234;0.2041;20.41;""
TZ;"Tanzânia";277;237;237;1;0;6;-40;0.8556;85.56;""
JO;"Internacional";262;189;189;0;0;0;-73;0.7214;72.14;""
MU;"Internacional";237;55;5;0;0;0;-182;0.2321;23.21;""
KE;"Quênia";233;123;123;0;0;1;-110;0.5279;52.79;""
PA;"Internacional";232;17;3;0;0;0;-215;0.0733;7.33;"UNDER"
RS;"Sérvia";232;63;63;0;0;0;-169;0.2716;27.16;""
MV;"Internacional";225;54;1;0;0;0;-171;0.2400;24.00;""
SK;"Eslováquia";219;195;195;0;0;0;-24;0.8904;89.04;""
UY;"Uruguai";215;6;6;0;0;0;-209;0.0279;2.79;"UNDER"
IS;"Internacional";212;101;57;0;0;37;-111;0.4764;47.64;""
LV;"Letônia";199;206;206;0;0;0;7;1.0352;103.52;""
BH;"Barein";193;16;16;0;0;0;-177;0.0829;8.29;"UNDER"
VE;"Internacional";192;167;48;0;0;0;-25;0.8698;86.98;""
SI;"Internacional";190;47;0;0;0;0;-143;0.2474;24.74;""
IR;"Irã";181;262;262;0;0;13;81;1.4475;144.75;""
PK;"Paquistão";180;192;192;0;0;4;12;1.0667;106.67;""
LB;"Líbano";179;102;102;0;0;0;-77;0.5698;56.98;""
PR;"Internacional";179;111;40;0;0;8;-68;0.6201;62.01;""
MM;"Internacional";178;260;44;0;0;0;82;1.4607;146.07;""
QA;"Internacional";178;64;2;0;0;0;-114;0.3596;35.96;""
EE;"Estônia";169;74;74;0;0;0;-95;0.4379;43.79;""
OM;"Omã";169;48;48;0;0;0;-121;0.2840;28.40;""
LT;"Lituânia";159;109;109;0;0;0;-50;0.6855;68.55;""
SY;"Internacional";153;179;84;0;0;8;26;1.1699;116.99;""
AZ;"Azerbaijão";146;1;1;0;0;0;-145;0.0068;0.68;"UNDER"
BA;"Internacional";146;88;13;0;0;0;-58;0.6027;60.27;""
DZ;"Argélia";144;52;52;0;0;0;-92;0.3611;36.11;""
NP;"Internacional";139;361;106;0;0;0;222;2.5971;259.71;"OVER"
ME;"Internacional";137;58;6;0;0;0;-79;0.4234;42.34;""
NA;"Internacional";136;82;16;0;0;0;-54;0.6029;60.29;""
MK;"Internacional";135;44;0;0;0;0;-91;0.3259;32.59;""
BB;"Internacional";134;32;32;0;0;0;-102;0.2388;23.88;""
BS;"Bahamas";134;6;6;0;0;0;-128;0.0448;4.48;"UNDER"
FJ;"Internacional";116;81;1;0;0;0;-35;0.6983;69.83;""
KW;"Internacional";112;28;2;0;0;0;-84;0.2500;25.00;""
GT;"Internacional";108;175;54;0;0;0;67;1.6204;162.04;""
CV;"Internacional";104;49;3;0;0;0;-55;0.4712;47.12;""
BZ;"Internacional";100;152;57;0;0;0;52;1.5200;152.00;""
EC;"Equador";97;99;99;0;0;23;2;1.0206;102.06;""
VI;"Internacional";95;21;5;0;0;0;-74;0.2211;22.11;""
SC;"Internacional";89;23;1;0;0;0;-66;0.2584;25.84;""
LC;"Internacional";88;26;0;0;0;0;-62;0.2955;29.55;""
LA;"Internacional";87;84;16;0;0;0;-3;0.9655;96.55;""
LU;"Internacional";84;57;9;0;0;0;-27;0.6786;67.86;""
SN;"Senegal";84;97;97;0;0;8;13;1.1548;115.48;""
PS;"Palestine";83;0;0;0;0;0;-83;0.0000;0.00;"MISS, UNDER"
PY;"Paraguai";78;24;24;0;0;0;-54;0.3077;30.77;""
AW;"Internacional";76;12;3;0;0;1;-64;0.1579;15.79;""
JE;"Jersey";75;0;0;0;0;0;-75;0.0000;0.00;"MISS, UNDER"
KZ;"Cazaquistão";75;13;13;0;0;1;-62;0.1733;17.33;""
MO;"Macau";70;0;0;0;0;0;-70;0.0000;0.00;"MISS, UNDER"
PF;"Internacional";70;17;3;0;0;0;-53;0.2429;24.29;""
CW;"Internacional";68;14;0;0;0;0;-54;0.2059;20.59;""
GE;"Internacional";68;188;92;0;0;0;120;2.7647;276.47;"OVER"
NG;"Nigéria";68;235;235;3;0;18;167;3.4559;345.59;"OVER"
AG;"Antigua and Barbuda";66;0;0;0;0;0;-66;0.0000;0.00;"MISS, UNDER"
HN;"Honduras";65;40;40;0;0;0;-25;0.6154;61.54;""
TT;"Internacional";62;85;2;0;0;0;23;1.3710;137.10;""
SV;"El Salvador";60;0;0;0;0;0;-60;0.0000;0.00;"MISS, UNDER"
TC;"Internacional";60;131;28;0;0;0;71;2.1833;218.33;"OVER"
ZW;"Internacional";60;192;77;0;0;0;132;3.2000;320.00;"OVER"
AM;"Armênia";57;32;32;0;0;0;-25;0.5614;56.14;""
BO;"Bolívia";55;103;103;0;0;1;48;1.8727;187.27;""
MD;"Moldávia";55;32;32;0;0;0;-23;0.5818;58.18;""
MG;"Madagascar";55;16;16;0;0;0;-39;0.2909;29.09;""
BD;"Bangladesh";53;139;139;0;0;0;86;2.6226;262.26;"OVER"
CK;"Ilhas Cook";53;4;4;0;0;0;-49;0.0755;7.55;"UNDER"
MZ;"Moçambique";52;134;134;0;0;2;82;2.5769;257.69;"OVER"
RE;"Internacional";52;37;6;0;0;0;-15;0.7115;71.15;""
UZ;"Internacional";52;272;180;0;0;0;220;5.2308;523.08;"OVER"
ZM;"Internacional";52;137;25;0;0;0;85;2.6346;263.46;"OVER"
BY;"Internacional";51;46;8;0;0;0;-5;0.9020;90.20;""
YE;"Internacional";51;16;16;0;0;16;-35;0.3137;31.37;""
GP;"Internacional";50;34;9;0;0;0;-16;0.6800;68.00;""
LY;"Líbia";50;26;26;1;0;0;-24;0.5200;52.00;""
CD;"Internacional";49;124;46;0;0;0;75;2.5306;253.06;"OVER"
AO;"Internacional";48;114;52;0;0;0;66;2.3750;237.50;"OVER"
GU;"Internacional";48;10;10;0;0;5;-38;0.2083;20.83;""
GH;"Gana";46;142;142;0;0;3;96;3.0870;308.70;"OVER"
NI;"Nicarágua";46;65;65;0;0;0;19;1.4130;141.30;""
SX;"Sint Maarten";43;0;0;0;0;0;-43;0.0000;0.00;"MISS, UNDER"
KY;"Cayman Islands";41;0;0;0;0;0;-41;0.0000;0.00;"MISS, UNDER"
UG;"Internacional";38;89;21;0;0;0;51;2.3421;234.21;"OVER"
MQ;"Internacional";35;14;2;0;0;0;-21;0.4000;40.00;""
BM;"Bermuda";34;0;0;0;0;0;-34;0.0000;0.00;"MISS, UNDER"
FM;"Micronesia";33;0;0;0;0;0;-33;0.0000;0.00;"MISS, UNDER"
GG;"Guernsey";33;0;0;0;0;0;-33;0.0000;0.00;"MISS, UNDER"
GD;"Grenada";32;0;0;0;0;0;-32;0.0000;0.00;"MISS, UNDER"
GM;"Gambia";32;0;0;0;0;0;-32;0.0000;0.00;"MISS, UNDER"
NF;"Norfolk Island";29;0;0;0;0;0;-29;0.0000;0.00;"MISS, UNDER"
XK;"Kosovo";29;0;0;0;0;0;-29;0.0000;0.00;"MISS, UNDER"
BQ;"Bonaire";28;0;0;0;0;0;-28;0.0000;0.00;"MISS, UNDER"
VU;"Vanuatu";28;8;8;0;0;0;-20;0.2857;28.57;""
KN;"Internacional";27;21;21;0;0;0;-6;0.7778;77.78;""
MF;"Internacional";27;36;13;0;0;0;9;1.3333;133.33;""
PG;"Papua-Nova Guiné";27;12;12;0;0;0;-15;0.4444;44.44;""
BN;"Internacional";26;108;108;0;0;0;82;4.1538;415.38;"OVER"
BW;"Internacional";26;127;25;0;0;0;101;4.8846;488.46;"OVER"
MP;"Northern Mariana Islands";26;0;0;0;0;0;-26;0.0000;0.00;"MISS, UNDER"
NC;"Internacional";26;42;9;0;0;0;16;1.6154;161.54;""
HT;"Internacional";25;112;51;0;0;0;87;4.4800;448.00;"OVER"
MC;"Monaco";25;0;0;0;0;0;-25;0.0000;0.00;"MISS, UNDER"
WS;"Samoa";25;16;16;0;0;0;-9;0.6400;64.00;""
VG;"British Virgin Islands";23;0;0;0;0;0;-23;0.0000;0.00;"MISS, UNDER"
MR;"Mauritânia";21;8;8;0;0;0;-13;0.3810;38.10;""
MW;"Internacional";21;76;44;0;0;0;55;3.6190;361.90;"OVER"
AI;"Anguilla";20;0;0;0;0;0;-20;0.0000;0.00;"MISS, UNDER"
SO;"Internacional";19;128;21;0;0;0;109;6.7368;673.68;"OVER"
TL;"Timor-Leste";19;16;16;0;0;0;-3;0.8421;84.21;""
CM;"Camarões";18;43;43;0;0;0;25;2.3889;238.89;"OVER"
PW;"Palau";18;0;0;0;0;0;-18;0.0000;0.00;"MISS, UNDER"
RW;"Internacional";18;77;33;0;0;0;59;4.2778;427.78;"OVER"
ET;"Etiópia";16;345;345;8;0;23;329;21.5625;2156.25;"OVER"
GI;"Internacional";15;70;30;0;0;0;55;4.6667;466.67;"OVER"
IQ;"Iraque";15;93;93;0;0;0;78;6.2000;620.00;"OVER"
KG;"Internacional";15;155;96;0;0;0;140;10.3333;1033.33;"OVER"
CI;"Costa do Marfim";14;4;4;0;0;0;-10;0.2857;28.57;""
TO;"Tonga";14;0;0;0;0;0;-14;0.0000;0.00;"MISS, UNDER"
IM;"Isle of Man";13;0;0;0;0;0;-13;0.0000;0.00;"MISS, UNDER"
MN;"Internacional";12;89;44;0;0;0;77;7.4167;741.67;"OVER"
SZ;"Internacional";12;4;3;0;0;0;-8;0.3333;33.33;""
BL;"Saint Barthélemy";11;0;0;0;0;0;-11;0.0000;0.00;"MISS, UNDER"
SM;"San Marino";11;0;0;0;0;0;-11;0.0000;0.00;"MISS, UNDER"
SR;"Suriname";11;16;16;0;0;0;5;1.4545;145.45;""
BF;"Internacional";10;85;36;0;0;0;75;8.5000;850.00;"OVER"
TG;"Internacional";10;49;0;0;0;0;39;4.9000;490.00;"OVER"
BJ;"Internacional";9;56;4;0;0;0;47;6.2222;622.22;"OVER"
DM;"Dominica";9;0;0;0;0;0;-9;0.0000;0.00;"MISS, UNDER"
VC;"Internacional";8;41;2;0;0;0;33;5.1250;512.50;"OVER"
AF;"Afeganistão";7;72;72;0;0;2;65;10.2857;1028.57;"OVER"
GA;"Internacional";7;60;5;0;0;0;53;8.5714;857.14;"OVER"
LI;"Liechtenstein";6;0;0;0;0;0;-6;0.0000;0.00;"MISS, UNDER"
ML;"Internacional";6;133;84;0;0;0;127;22.1667;2216.67;"OVER"
ST;"Internacional";6;16;6;0;0;0;10;2.6667;266.67;"OVER"
TD;"Internacional";6;52;16;0;0;0;46;8.6667;866.67;"OVER"
CG;"Internacional";5;100;83;0;0;0;95;20.0000;2000.00;"OVER"
EH;"Western Sahara";5;0;0;0;0;0;-5;0.0000;0.00;"MISS, UNDER"
GF;"Internacional";5;8;1;0;0;0;3;1.6000;160.00;""
GL;"Groenlândia";5;8;8;0;0;0;3;1.6000;160.00;""
GN;"Internacional";5;34;8;0;0;0;29;6.8000;680.00;"OVER"
GQ;"Internacional";5;33;7;0;0;0;28;6.6000;660.00;"OVER"
NU;"Niue";5;0;0;0;0;0;-5;0.0000;0.00;"MISS, UNDER"
SD;"Sudão";5;28;28;0;0;0;23;5.6000;560.00;"OVER"
BT;"Internacional";4;44;10;0;0;0;40;11.0000;1100.00;"OVER"
FO;"Internacional";4;7;1;0;0;0;3;1.7500;175.00;""
GW;"Internacional";4;52;52;0;0;0;48;13.0000;1300.00;"OVER"
GY;"Guyana";4;0;0;0;0;0;-4;0.0000;0.00;"MISS, UNDER"
MH;"Internacional";4;45;0;0;0;0;41;11.2500;1125.00;"OVER"
NE;"Níger";4;16;16;0;0;0;12;4.0000;400.00;"OVER"
SS;"South Sudan";4;0;0;0;0;0;-4;0.0000;0.00;"MISS, UNDER"
BI;"Internacional";3;84;80;0;0;0;81;28.0000;2800.00;"OVER"
DJ;"Djibouti";3;0;0;0;0;0;-3;0.0000;0.00;"MISS, UNDER"
KI;"Kiribati";3;0;0;0;0;0;-3;0.0000;0.00;"MISS, UNDER"
LS;"Lesotho";3;0;0;0;0;0;-3;0.0000;0.00;"MISS, UNDER"
SL;"Internacional";3;27;18;0;0;0;24;9.0000;900.00;"OVER"
TJ;"Internacional";3;145;26;0;0;0;142;48.3333;4833.33;"OVER"
AX;"Åland Islands";2;0;0;0;0;0;-2;0.0000;0.00;"MISS, UNDER"
CF;"Internacional";2;20;20;0;0;0;18;10.0000;1000.00;"OVER"
NR;"Nauru";2;0;0;0;0;0;-2;0.0000;0.00;"MISS, UNDER"
SJ;"Svalbard and Jan Mayen";2;0;0;0;0;0;-2;0.0000;0.00;"MISS, UNDER"
AS;"Internacional";1;16;6;0;0;0;15;16.0000;1600.00;"OVER"
ER;"Internacional";1;7;5;0;0;0;6;7.0000;700.00;"OVER"
MS;"Montserrat";1;0;0;0;0;0;-1;0.0000;0.00;"MISS, UNDER"
TK;"Tokelau";1;0;0;0;0;0;-1;0.0000;0.00;"MISS, UNDER"
TV;"Tuvalu";1;0;0;0;0;0;-1;0.0000;0.00;"MISS, UNDER"
YT;"Mayotte";1;0;0;0;0;0;-1;0.0000;0.00;"MISS, UNDER"
XX;"Internacional";0;192403;49643;230;0;770;192403;NA;NA;"EXTRA"
TM;"Internacional";0;164;101;0;0;0;164;NA;NA;"EXTRA"
KP;"Internacional";0;56;35;0;0;0;56;NA;NA;"EXTRA"
LR;"Internacional";0;49;0;0;0;0;49;NA;NA;"EXTRA"
PM;"Internacional";0;10;2;0;0;0;10;NA;NA;"EXTRA"
